state,election_year,jurisdiction_code,jurisdiction_name,county,local_unit,level,method,method_label,source_field,voters,method_share_pct,total_voters,value_status,source_url,source_title,source_status
MN,2024,2701100000,BIG STONE COUNTY,,BIG STONE COUNTY,jurisdiction,provisional_ballot,Provisional ballot,F1e,,,2852,unavailable,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
MN,2024,2701100000,BIG STONE COUNTY,,BIG STONE COUNTY,jurisdiction,in_person_early,In-person early voting,F1f,321,11.2553,2852,reported,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
MN,2024,2701100000,BIG STONE COUNTY,,BIG STONE COUNTY,jurisdiction,mail_votes_vote_by_mail_jurisdiction,Mail votes in vote-by-mail jurisdiction,F1g,1392,48.8079,2852,reported,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
MN,2024,2701100000,BIG STONE COUNTY,,BIG STONE COUNTY,jurisdiction,other_participation,Other participation,F1h,,,2852,missing,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
MN,2024,2701300000,BLUE EARTH COUNTY,,BLUE EARTH COUNTY,jurisdiction,physical_polling_place,Physical polling place,F1b,20288,55.3893,36628,reported,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
MN,2024,2701300000,BLUE EARTH COUNTY,,BLUE EARTH COUNTY,jurisdiction,absentee_uocava,Absentee UOCAVA,F1c,110,0.3003,36628,reported,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
MN,2024,2701300000,BLUE EARTH COUNTY,,BLUE EARTH COUNTY,jurisdiction,mail_votes,Mail votes,F1d,2975,8.1222,36628,reported,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
MN,2024,2701300000,BLUE EARTH COUNTY,,BLUE EARTH COUNTY,jurisdiction,provisional_ballot,Provisional ballot,F1e,,,36628,unavailable,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
MN,2024,2701300000,BLUE EARTH COUNTY,,BLUE EARTH COUNTY,jurisdiction,in_person_early,In-person early voting,F1f,8732,23.8397,36628,reported,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
MN,2024,2701300000,BLUE EARTH COUNTY,,BLUE EARTH COUNTY,jurisdiction,mail_votes_vote_by_mail_jurisdiction,Mail votes in vote-by-mail jurisdiction,F1g,4523,12.3485,36628,reported,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
MN,2024,2701300000,BLUE EARTH COUNTY,,BLUE EARTH COUNTY,jurisdiction,other_participation,Other participation,F1h,,,36628,missing,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
MN,2024,2701500000,BROWN COUNTY,,BROWN COUNTY,jurisdiction,physical_polling_place,Physical polling place,F1b,8936,60.7933,14699,reported,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
MN,2024,2701500000,BROWN COUNTY,,BROWN COUNTY,jurisdiction,absentee_uocava,Absentee UOCAVA,F1c,29,0.1973,14699,reported,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
MN,2024,2701500000,BROWN COUNTY,,BROWN COUNTY,jurisdiction,mail_votes,Mail votes,F1d,988,6.7215,14699,reported,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
MN,2024,2701500000,BROWN COUNTY,,BROWN COUNTY,jurisdiction,provisional_ballot,Provisional ballot,F1e,,,14699,unavailable,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
MN,2024,2701500000,BROWN COUNTY,,BROWN COUNTY,jurisdiction,in_person_early,In-person early voting,F1f,2539,17.2733,14699,reported,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
MN,2024,2701500000,BROWN COUNTY,,BROWN COUNTY,jurisdiction,mail_votes_vote_by_mail_jurisdiction,Mail votes in vote-by-mail jurisdiction,F1g,2207,15.0146,14699,reported,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
MN,2024,2701500000,BROWN COUNTY,,BROWN COUNTY,jurisdiction,other_participation,Other participation,F1h,,,14699,missing,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
MN,2024,2701700000,CARLTON COUNTY,,CARLTON COUNTY,jurisdiction,physical_polling_place,Physical polling place,F1b,13349,63.8586,20904,reported,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
MN,2024,2701700000,CARLTON COUNTY,,CARLTON COUNTY,jurisdiction,absentee_uocava,Absentee UOCAVA,F1c,59,0.2822,20904,reported,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
MN,2024,2701700000,CARLTON COUNTY,,CARLTON COUNTY,jurisdiction,mail_votes,Mail votes,F1d,1824,8.7256,20904,reported,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
MN,2024,2701700000,CARLTON COUNTY,,CARLTON COUNTY,jurisdiction,provisional_ballot,Provisional ballot,F1e,,,20904,unavailable,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
MN,2024,2701700000,CARLTON COUNTY,,CARLTON COUNTY,jurisdiction,in_person_early,In-person early voting,F1f,3809,18.2214,20904,reported,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
MN,2024,2701700000,CARLTON COUNTY,,CARLTON COUNTY,jurisdiction,mail_votes_vote_by_mail_jurisdiction,Mail votes in vote-by-mail jurisdiction,F1g,1863,8.9122,20904,reported,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
MN,2024,2701700000,CARLTON COUNTY,,CARLTON COUNTY,jurisdiction,other_participation,Other participation,F1h,,,20904,missing,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
MN,2024,2701900000,CARVER COUNTY,,CARVER COUNTY,jurisdiction,physical_polling_place,Physical polling place,F1b,40956,58.8888,69548,reported,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
MN,2024,2701900000,CARVER COUNTY,,CARVER COUNTY,jurisdiction,absentee_uocava,Absentee UOCAVA,F1c,250,0.3595,69548,reported,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
MN,2024,2701900000,CARVER COUNTY,,CARVER COUNTY,jurisdiction,mail_votes,Mail votes,F1d,8147,11.7142,69548,reported,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
MN,2024,2701900000,CARVER COUNTY,,CARVER COUNTY,jurisdiction,provisional_ballot,Provisional ballot,F1e,,,69548,unavailable,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
MN,2024,2701900000,CARVER COUNTY,,CARVER COUNTY,jurisdiction,in_person_early,In-person early voting,F1f,20195,29.0375,69548,reported,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
MN,2024,2701900000,CARVER COUNTY,,CARVER COUNTY,jurisdiction,mail_votes_vote_by_mail_jurisdiction,Mail votes in vote-by-mail jurisdiction,F1g,0,0.0000,69548,reported,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
MN,2024,2701900000,CARVER COUNTY,,CARVER COUNTY,jurisdiction,other_participation,Other participation,F1h,,,69548,missing,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
MN,2024,2702100000,CASS COUNTY,,CASS COUNTY,jurisdiction,physical_polling_place,Physical polling place,F1b,9553,49.1384,19441,reported,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
MN,2024,2702100000,CASS COUNTY,,CASS COUNTY,jurisdiction,absentee_uocava,Absentee UOCAVA,F1c,41,0.2109,19441,reported,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
MN,2024,2702100000,CASS COUNTY,,CASS COUNTY,jurisdiction,mail_votes,Mail votes,F1d,1297,6.6715,19441,reported,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
MN,2024,2702100000,CASS COUNTY,,CASS COUNTY,jurisdiction,provisional_ballot,Provisional ballot,F1e,,,19441,unavailable,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
MN,2024,2702100000,CASS COUNTY,,CASS COUNTY,jurisdiction,in_person_early,In-person early voting,F1f,4059,20.8786,19441,reported,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
MN,2024,2702100000,CASS COUNTY,,CASS COUNTY,jurisdiction,mail_votes_vote_by_mail_jurisdiction,Mail votes in vote-by-mail jurisdiction,F1g,4491,23.1007,19441,reported,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
MN,2024,2702100000,CASS COUNTY,,CASS COUNTY,jurisdiction,other_participation,Other participation,F1h,,,19441,missing,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
MN,2024,2702300000,CHIPPEWA COUNTY,,CHIPPEWA COUNTY,jurisdiction,physical_polling_place,Physical polling place,F1b,3426,53.9698,6348,reported,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
MN,2024,2702300000,CHIPPEWA COUNTY,,CHIPPEWA COUNTY,jurisdiction,absentee_uocava,Absentee UOCAVA,F1c,29,0.4568,6348,reported,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
MN,2024,2702300000,CHIPPEWA COUNTY,,CHIPPEWA COUNTY,jurisdiction,mail_votes,Mail votes,F1d,317,4.9937,6348,reported,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
MN,2024,2702300000,CHIPPEWA COUNTY,,CHIPPEWA COUNTY,jurisdiction,provisional_ballot,Provisional ballot,F1e,,,6348,unavailable,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
