"01-446 Aurora" ,"Sup Court JD4 Harbison" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"01-446 Aurora" ,"Sup Court JD4 Harbison" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"01-446 Aurora" ,"Sup Court JD4 Harbison" ,"Registered Voters" ,"NP" ,"Total" ,2486 ,
"01-446 Aurora" ,"Sup Court JD4 Harbison" ,"Times Counted" ,"NP" ,"Total" ,874 ,
"01-446 Aurora" ,"Sup Court JD4 Harbison" ,"YES" ,"NP" ,"Total" ,525 ,
"01-446 Aurora" ,"Sup Court JD4 Harbison" ,"NO" ,"NP" ,"Total" ,241 ,
"01-446 Aurora" ,"Sup Court JD4 Kauvar" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"01-446 Aurora" ,"Sup Court JD4 Kauvar" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"01-446 Aurora" ,"Sup Court JD4 Kauvar" ,"Registered Voters" ,"NP" ,"Total" ,2486 ,
"01-446 Aurora" ,"Sup Court JD4 Kauvar" ,"Times Counted" ,"NP" ,"Total" ,874 ,
"01-446 Aurora" ,"Sup Court JD4 Kauvar" ,"YES" ,"NP" ,"Total" ,502 ,
"01-446 Aurora" ,"Sup Court JD4 Kauvar" ,"NO" ,"NP" ,"Total" ,268 ,
"01-446 Aurora" ,"Sup Court JD4 MacDonald" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"01-446 Aurora" ,"Sup Court JD4 MacDonald" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"01-446 Aurora" ,"Sup Court JD4 MacDonald" ,"Registered Voters" ,"NP" ,"Total" ,2486 ,
"01-446 Aurora" ,"Sup Court JD4 MacDonald" ,"Times Counted" ,"NP" ,"Total" ,874 ,
"01-446 Aurora" ,"Sup Court JD4 MacDonald" ,"YES" ,"NP" ,"Total" ,519 ,
"01-446 Aurora" ,"Sup Court JD4 MacDonald" ,"NO" ,"NP" ,"Total" ,242 ,
"01-446 Aurora" ,"Sup Court JD4 McConnell " ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"01-446 Aurora" ,"Sup Court JD4 McConnell " ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"01-446 Aurora" ,"Sup Court JD4 McConnell " ,"Registered Voters" ,"NP" ,"Total" ,2486 ,
"01-446 Aurora" ,"Sup Court JD4 McConnell " ,"Times Counted" ,"NP" ,"Total" ,874 ,
"01-446 Aurora" ,"Sup Court JD4 McConnell " ,"YES" ,"NP" ,"Total" ,486 ,
"01-446 Aurora" ,"Sup Court JD4 McConnell " ,"NO" ,"NP" ,"Total" ,259 ,
"01-446 Aurora" ,"Dis Court JD4 Christian" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"01-446 Aurora" ,"Dis Court JD4 Christian" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"01-446 Aurora" ,"Dis Court JD4 Christian" ,"Registered Voters" ,"NP" ,"Total" ,2486 ,
"01-446 Aurora" ,"Dis Court JD4 Christian" ,"Times Counted" ,"NP" ,"Total" ,874 ,
"01-446 Aurora" ,"Dis Court JD4 Christian" ,"YES" ,"NP" ,"Total" ,517 ,
"01-446 Aurora" ,"Dis Court JD4 Christian" ,"NO" ,"NP" ,"Total" ,234 ,
"01-446 Aurora" ,"Dis Court JD4 Hammers" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"01-446 Aurora" ,"Dis Court JD4 Hammers" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"01-446 Aurora" ,"Dis Court JD4 Hammers" ,"Registered Voters" ,"NP" ,"Total" ,2486 ,
"01-446 Aurora" ,"Dis Court JD4 Hammers" ,"Times Counted" ,"NP" ,"Total" ,874 ,
"01-446 Aurora" ,"Dis Court JD4 Hammers" ,"YES" ,"NP" ,"Total" ,507 ,
"01-446 Aurora" ,"Dis Court JD4 Hammers" ,"NO" ,"NP" ,"Total" ,241 ,
"01-446 Aurora" ,"Dis Court JD4 Peters" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"01-446 Aurora" ,"Dis Court JD4 Peters" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"01-446 Aurora" ,"Dis Court JD4 Peters" ,"Registered Voters" ,"NP" ,"Total" ,2486 ,
"01-446 Aurora" ,"Dis Court JD4 Peters" ,"Times Counted" ,"NP" ,"Total" ,874 ,
"01-446 Aurora" ,"Dis Court JD4 Peters" ,"YES" ,"NP" ,"Total" ,503 ,
"01-446 Aurora" ,"Dis Court JD4 Peters" ,"NO" ,"NP" ,"Total" ,244 ,
"01-455 Fairbanks No. 1" ,"Race Statistics" ,"Number of Precincts" ,"NP" ,"Total" ,1 ,
"01-455 Fairbanks No. 1" ,"Race Statistics" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"01-455 Fairbanks No. 1" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"01-455 Fairbanks No. 1" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"01-455 Fairbanks No. 1" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,502 ,
"01-455 Fairbanks No. 1" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,199 ,
"01-455 Fairbanks No. 1" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,2 ,
"01-455 Fairbanks No. 1" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,65 ,
"01-455 Fairbanks No. 1" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,1 ,
"01-455 Fairbanks No. 1" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,8 ,
"01-455 Fairbanks No. 1" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,2 ,
"01-455 Fairbanks No. 1" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,113 ,
"01-455 Fairbanks No. 1" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,8 ,
"01-455 Fairbanks No. 1" ,"US SENATOR" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"01-455 Fairbanks No. 1" ,"US SENATOR" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"01-455 Fairbanks No. 1" ,"US SENATOR" ,"Registered Voters" ,"NP" ,"Total" ,502 ,
"01-455 Fairbanks No. 1" ,"US SENATOR" ,"Times Counted" ,"NP" ,"Total" ,199 ,
"01-455 Fairbanks No. 1" ,"US SENATOR" ,"Craig, Breck A. " ,"NA" ,"Total" ,1 ,
"01-455 Fairbanks No. 1" ,"US SENATOR" ,"Gianoutsos, Ted" ,"NA" ,"Total" ,1 ,
"01-455 Fairbanks No. 1" ,"US SENATOR" ,"Metcalfe, Ray" ,"DEM" ,"Total" ,20 ,
"01-455 Fairbanks No. 1" ,"US SENATOR" ,"Miller, Joe" ,"LIB" ,"Total" ,74 ,
"01-455 Fairbanks No. 1" ,"US SENATOR" ,"Murkowski, Lisa" ,"REP" ,"Total" ,85 ,
"01-455 Fairbanks No. 1" ,"US SENATOR" ,"Stock, Margaret" ,"NA" ,"Total" ,17 ,
"01-455 Fairbanks No. 1" ,"US SENATOR" ,"Write-in 70" ,"NP" ,"Total" ,1 ,
"01-455 Fairbanks No. 1" ,"US REPRESENTATIVE" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"01-455 Fairbanks No. 1" ,"US REPRESENTATIVE" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"01-455 Fairbanks No. 1" ,"US REPRESENTATIVE" ,"Registered Voters" ,"NP" ,"Total" ,502 ,
"01-455 Fairbanks No. 1" ,"US REPRESENTATIVE" ,"Times Counted" ,"NP" ,"Total" ,199 ,
"01-455 Fairbanks No. 1" ,"US REPRESENTATIVE" ,"Lindbeck, Steve" ,"DEM" ,"Total" ,62 ,
"01-455 Fairbanks No. 1" ,"US REPRESENTATIVE" ,"McDermott, Jim C. " ,"LIB" ,"Total" ,23 ,
"01-455 Fairbanks No. 1" ,"US REPRESENTATIVE" ,"Souphanavong, Bernie" ,"NA" ,"Total" ,4 ,
"01-455 Fairbanks No. 1" ,"US REPRESENTATIVE" ,"Young, Don" ,"REP" ,"Total" ,106 ,
"01-455 Fairbanks No. 1" ,"US REPRESENTATIVE" ,"Write-in 50" ,"NP" ,"Total" ,0 ,
"01-455 Fairbanks No. 1" ,"HOUSE DISTRICT 1" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"01-455 Fairbanks No. 1" ,"HOUSE DISTRICT 1" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"01-455 Fairbanks No. 1" ,"HOUSE DISTRICT 1" ,"Registered Voters" ,"NP" ,"Total" ,502 ,
"01-455 Fairbanks No. 1" ,"HOUSE DISTRICT 1" ,"Times Counted" ,"NP" ,"Total" ,199 ,
"01-455 Fairbanks No. 1" ,"HOUSE DISTRICT 1" ,"Kawasaki, Scott J. " ,"DEM" ,"Total" ,142 ,
"01-455 Fairbanks No. 1" ,"HOUSE DISTRICT 1" ,"Write-in 20" ,"NP" ,"Total" ,17 ,
"01-455 Fairbanks No. 1" ,"Ballot Measure No. 1 – 15PFVR" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"01-455 Fairbanks No. 1" ,"Ballot Measure No. 1 – 15PFVR" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"01-455 Fairbanks No. 1" ,"Ballot Measure No. 1 – 15PFVR" ,"Registered Voters" ,"NP" ,"Total" ,502 ,
"01-455 Fairbanks No. 1" ,"Ballot Measure No. 1 – 15PFVR" ,"Times Counted" ,"NP" ,"Total" ,199 ,
"01-455 Fairbanks No. 1" ,"Ballot Measure No. 1 – 15PFVR" ,"YES" ,"NP" ,"Total" ,134 ,
"01-455 Fairbanks No. 1" ,"Ballot Measure No. 1 – 15PFVR" ,"NO" ,"NP" ,"Total" ,62 ,
"01-455 Fairbanks No. 1" ,"Ballot Measure No. 2 - SJR2" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"01-455 Fairbanks No. 1" ,"Ballot Measure No. 2 - SJR2" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"01-455 Fairbanks No. 1" ,"Ballot Measure No. 2 - SJR2" ,"Registered Voters" ,"NP" ,"Total" ,502 ,
"01-455 Fairbanks No. 1" ,"Ballot Measure No. 2 - SJR2" ,"Times Counted" ,"NP" ,"Total" ,199 ,
"01-455 Fairbanks No. 1" ,"Ballot Measure No. 2 - SJR2" ,"YES" ,"NP" ,"Total" ,94 ,
"01-455 Fairbanks No. 1" ,"Ballot Measure No. 2 - SJR2" ,"NO" ,"NP" ,"Total" ,96 ,
"01-455 Fairbanks No. 1" ,"Supreme Crt-Justice Bolger" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"01-455 Fairbanks No. 1" ,"Supreme Crt-Justice Bolger" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"01-455 Fairbanks No. 1" ,"Supreme Crt-Justice Bolger" ,"Registered Voters" ,"NP" ,"Total" ,502 ,
"01-455 Fairbanks No. 1" ,"Supreme Crt-Justice Bolger" ,"Times Counted" ,"NP" ,"Total" ,199 ,
"01-455 Fairbanks No. 1" ,"Supreme Crt-Justice Bolger" ,"YES" ,"NP" ,"Total" ,114 ,
"01-455 Fairbanks No. 1" ,"Supreme Crt-Justice Bolger" ,"NO" ,"NP" ,"Total" ,71 ,
"01-455 Fairbanks No. 1" ,"Supreme Crt-Justice Maassen" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"01-455 Fairbanks No. 1" ,"Supreme Crt-Justice Maassen" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"01-455 Fairbanks No. 1" ,"Supreme Crt-Justice Maassen" ,"Registered Voters" ,"NP" ,"Total" ,502 ,
"01-455 Fairbanks No. 1" ,"Supreme Crt-Justice Maassen" ,"Times Counted" ,"NP" ,"Total" ,199 ,
"01-455 Fairbanks No. 1" ,"Supreme Crt-Justice Maassen" ,"YES" ,"NP" ,"Total" ,105 ,
"01-455 Fairbanks No. 1" ,"Supreme Crt-Justice Maassen" ,"NO" ,"NP" ,"Total" ,73 ,
"01-455 Fairbanks No. 1" ,"Court of Appeals - Judge Allard" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"01-455 Fairbanks No. 1" ,"Court of Appeals - Judge Allard" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"01-455 Fairbanks No. 1" ,"Court of Appeals - Judge Allard" ,"Registered Voters" ,"NP" ,"Total" ,502 ,
"01-455 Fairbanks No. 1" ,"Court of Appeals - Judge Allard" ,"Times Counted" ,"NP" ,"Total" ,199 ,
"01-455 Fairbanks No. 1" ,"Court of Appeals - Judge Allard" ,"YES" ,"NP" ,"Total" ,117 ,
"01-455 Fairbanks No. 1" ,"Court of Appeals - Judge Allard" ,"NO" ,"NP" ,"Total" ,66 ,
"01-455 Fairbanks No. 1" ,"Sup Court JD4 Blankenship" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"01-455 Fairbanks No. 1" ,"Sup Court JD4 Blankenship" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"01-455 Fairbanks No. 1" ,"Sup Court JD4 Blankenship" ,"Registered Voters" ,"NP" ,"Total" ,502 ,
"01-455 Fairbanks No. 1" ,"Sup Court JD4 Blankenship" ,"Times Counted" ,"NP" ,"Total" ,199 ,
"01-455 Fairbanks No. 1" ,"Sup Court JD4 Blankenship" ,"YES" ,"NP" ,"Total" ,123 ,
"01-455 Fairbanks No. 1" ,"Sup Court JD4 Blankenship" ,"NO" ,"NP" ,"Total" ,58 ,
"01-455 Fairbanks No. 1" ,"Sup Court JD4 Harbison" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"01-455 Fairbanks No. 1" ,"Sup Court JD4 Harbison" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"01-455 Fairbanks No. 1" ,"Sup Court JD4 Harbison" ,"Registered Voters" ,"NP" ,"Total" ,502 ,
"01-455 Fairbanks No. 1" ,"Sup Court JD4 Harbison" ,"Times Counted" ,"NP" ,"Total" ,199 ,
"01-455 Fairbanks No. 1" ,"Sup Court JD4 Harbison" ,"YES" ,"NP" ,"Total" ,112 ,
"01-455 Fairbanks No. 1" ,"Sup Court JD4 Harbison" ,"NO" ,"NP" ,"Total" ,64 ,
"01-455 Fairbanks No. 1" ,"Sup Court JD4 Kauvar" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"01-455 Fairbanks No. 1" ,"Sup Court JD4 Kauvar" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"01-455 Fairbanks No. 1" ,"Sup Court JD4 Kauvar" ,"Registered Voters" ,"NP" ,"Total" ,502 ,
"01-455 Fairbanks No. 1" ,"Sup Court JD4 Kauvar" ,"Times Counted" ,"NP" ,"Total" ,199 ,
"01-455 Fairbanks No. 1" ,"Sup Court JD4 Kauvar" ,"YES" ,"NP" ,"Total" ,107 ,
"01-455 Fairbanks No. 1" ,"Sup Court JD4 Kauvar" ,"NO" ,"NP" ,"Total" ,72 ,
"01-455 Fairbanks No. 1" ,"Sup Court JD4 MacDonald" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"01-455 Fairbanks No. 1" ,"Sup Court JD4 MacDonald" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"01-455 Fairbanks No. 1" ,"Sup Court JD4 MacDonald" ,"Registered Voters" ,"NP" ,"Total" ,502 ,
"01-455 Fairbanks No. 1" ,"Sup Court JD4 MacDonald" ,"Times Counted" ,"NP" ,"Total" ,199 ,
"01-455 Fairbanks No. 1" ,"Sup Court JD4 MacDonald" ,"YES" ,"NP" ,"Total" ,128 ,
"01-455 Fairbanks No. 1" ,"Sup Court JD4 MacDonald" ,"NO" ,"NP" ,"Total" ,51 ,
"01-455 Fairbanks No. 1" ,"Sup Court JD4 McConnell " ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"01-455 Fairbanks No. 1" ,"Sup Court JD4 McConnell " ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"01-455 Fairbanks No. 1" ,"Sup Court JD4 McConnell " ,"Registered Voters" ,"NP" ,"Total" ,502 ,
"01-455 Fairbanks No. 1" ,"Sup Court JD4 McConnell " ,"Times Counted" ,"NP" ,"Total" ,199 ,
"01-455 Fairbanks No. 1" ,"Sup Court JD4 McConnell " ,"YES" ,"NP" ,"Total" ,112 ,
"01-455 Fairbanks No. 1" ,"Sup Court JD4 McConnell " ,"NO" ,"NP" ,"Total" ,61 ,
"01-455 Fairbanks No. 1" ,"Dis Court JD4 Christian" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"01-455 Fairbanks No. 1" ,"Dis Court JD4 Christian" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"01-455 Fairbanks No. 1" ,"Dis Court JD4 Christian" ,"Registered Voters" ,"NP" ,"Total" ,502 ,
"01-455 Fairbanks No. 1" ,"Dis Court JD4 Christian" ,"Times Counted" ,"NP" ,"Total" ,199 ,
"01-455 Fairbanks No. 1" ,"Dis Court JD4 Christian" ,"YES" ,"NP" ,"Total" ,123 ,
"01-455 Fairbanks No. 1" ,"Dis Court JD4 Christian" ,"NO" ,"NP" ,"Total" ,53 ,
"01-455 Fairbanks No. 1" ,"Dis Court JD4 Hammers" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"01-455 Fairbanks No. 1" ,"Dis Court JD4 Hammers" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"01-455 Fairbanks No. 1" ,"Dis Court JD4 Hammers" ,"Registered Voters" ,"NP" ,"Total" ,502 ,
"01-455 Fairbanks No. 1" ,"Dis Court JD4 Hammers" ,"Times Counted" ,"NP" ,"Total" ,199 ,
"01-455 Fairbanks No. 1" ,"Dis Court JD4 Hammers" ,"YES" ,"NP" ,"Total" ,120 ,
"01-455 Fairbanks No. 1" ,"Dis Court JD4 Hammers" ,"NO" ,"NP" ,"Total" ,56 ,
"01-455 Fairbanks No. 1" ,"Dis Court JD4 Peters" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"01-455 Fairbanks No. 1" ,"Dis Court JD4 Peters" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"01-455 Fairbanks No. 1" ,"Dis Court JD4 Peters" ,"Registered Voters" ,"NP" ,"Total" ,502 ,
"01-455 Fairbanks No. 1" ,"Dis Court JD4 Peters" ,"Times Counted" ,"NP" ,"Total" ,199 ,
"01-455 Fairbanks No. 1" ,"Dis Court JD4 Peters" ,"YES" ,"NP" ,"Total" ,118 ,
"01-455 Fairbanks No. 1" ,"Dis Court JD4 Peters" ,"NO" ,"NP" ,"Total" ,57 ,
"01-465 Fairbanks No. 2" ,"Race Statistics" ,"Number of Precincts" ,"NP" ,"Total" ,1 ,
"01-465 Fairbanks No. 2" ,"Race Statistics" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
