"JurisdictionID","JurisContainerID","JurisName","EISCandidateID","CandidateName","EISContestID","ContestName","PrecinctName","Registration","EISPartyID","PartyName","VoteCount"
"49","0","LAKE","230","Brad Schneider","340","10TH CONGRESS","Benton 63","1013","11","Democratic","327"
"49","0","LAKE","230","Brad Schneider","340","10TH CONGRESS","Fremont 117","835","11","Democratic","450"
"49","0","LAKE","230","Brad Schneider","340","10TH CONGRESS","Fremont 129","1121","11","Democratic","494"
"49","0","LAKE","230","Brad Schneider","340","10TH CONGRESS","Grant 130","1054","11","Democratic","305"
"49","0","LAKE","230","Brad Schneider","340","10TH CONGRESS","Grant 140","1129","11","Democratic","440"
"49","0","LAKE","230","Brad Schneider","340","10TH CONGRESS","Lake Villa 153","1169","11","Democratic","457"
"49","0","LAKE","230","Brad Schneider","340","10TH CONGRESS","Lake Villa 157","1096","11","Democratic","452"
"49","0","LAKE","230","Brad Schneider","340","10TH CONGRESS","Lake Villa 166","1098","11","Democratic","394"
"49","0","LAKE","230","Brad Schneider","340","10TH CONGRESS","Lake Villa 169","1142","11","Democratic","387"
"49","0","LAKE","230","Brad Schneider","340","10TH CONGRESS","Libertyville 179","522","11","Democratic","215"
"49","0","LAKE","230","Brad Schneider","340","10TH CONGRESS","Libertyville 182","735","11","Democratic","326"
"49","0","LAKE","230","Brad Schneider","340","10TH CONGRESS","Libertyville 183","1436","11","Democratic","502"
"49","0","LAKE","230","Brad Schneider","340","10TH CONGRESS","Libertyville 195","1018","11","Democratic","464"
"49","0","LAKE","230","Brad Schneider","340","10TH CONGRESS","Libertyville 207","760","11","Democratic","301"
"49","0","LAKE","230","Brad Schneider","340","10TH CONGRESS","Moraine 220","938","11","Democratic","585"
"49","0","LAKE","230","Brad Schneider","340","10TH CONGRESS","Moraine 221","1111","11","Democratic","717"
"49","0","LAKE","230","Brad Schneider","340","10TH CONGRESS","Moraine 231","1153","11","Democratic","777"
"49","0","LAKE","230","Brad Schneider","340","10TH CONGRESS","Newport 234","1222","11","Democratic","355"
"49","0","LAKE","230","Brad Schneider","340","10TH CONGRESS","Shields 245","1111","11","Democratic","506"
"49","0","LAKE","230","Brad Schneider","340","10TH CONGRESS","Vernon 256","1180","11","Democratic","481"
"49","0","LAKE","230","Brad Schneider","340","10TH CONGRESS","Vernon 259","1117","11","Democratic","576"
"49","0","LAKE","230","Brad Schneider","340","10TH CONGRESS","Moraine 212","966","11","Democratic","452"
"49","0","LAKE","230","Brad Schneider","340","10TH CONGRESS","Moraine 213","1130","11","Democratic","559"
"49","0","LAKE","230","Brad Schneider","340","10TH CONGRESS","Moraine 224","1079","11","Democratic","700"
"49","0","LAKE","230","Brad Schneider","340","10TH CONGRESS","Moraine 225","882","11","Democratic","591"
"49","0","LAKE","230","Brad Schneider","340","10TH CONGRESS","Moraine 226","1022","11","Democratic","624"
"49","0","LAKE","230","Brad Schneider","340","10TH CONGRESS","Newport 237","876","11","Democratic","363"
"49","0","LAKE","230","Brad Schneider","340","10TH CONGRESS","Shields 249","1212","11","Democratic","549"
"49","0","LAKE","230","Brad Schneider","340","10TH CONGRESS","Vernon 272","1023","11","Democratic","481"
"49","0","LAKE","230","Brad Schneider","340","10TH CONGRESS","Vernon 273","811","11","Democratic","379"
"49","0","LAKE","230","Brad Schneider","340","10TH CONGRESS","Vernon 274","1077","11","Democratic","511"
"49","0","LAKE","230","Brad Schneider","340","10TH CONGRESS","Vernon 287","1025","11","Democratic","512"
"49","0","LAKE","230","Brad Schneider","340","10TH CONGRESS","Warren 301","1056","11","Democratic","433"
"49","0","LAKE","230","Brad Schneider","340","10TH CONGRESS","Warren 304","1219","11","Democratic","453"
"49","0","LAKE","230","Brad Schneider","340","10TH CONGRESS","Warren 312","997","11","Democratic","468"
"49","0","LAKE","230","Brad Schneider","340","10TH CONGRESS","Warren 315","1152","11","Democratic","439"
"49","0","LAKE","230","Brad Schneider","340","10TH CONGRESS","Warren 326","1145","11","Democratic","449"
"49","0","LAKE","230","Brad Schneider","340","10TH CONGRESS","Warren 329","1203","11","Democratic","535"
"49","0","LAKE","230","Brad Schneider","340","10TH CONGRESS","Warren 338","1251","11","Democratic","492"
"49","0","LAKE","230","Brad Schneider","340","10TH CONGRESS","Waukegan 365","1021","11","Democratic","370"
"49","0","LAKE","230","Brad Schneider","340","10TH CONGRESS","Waukegan 368","1155","11","Democratic","408"
"49","0","LAKE","230","Brad Schneider","340","10TH CONGRESS","Waukegan 379","1081","11","Democratic","369"
"49","0","LAKE","230","Brad Schneider","340","10TH CONGRESS","Waukegan 382","1155","11","Democratic","378"
"49","0","LAKE","230","Brad Schneider","340","10TH CONGRESS","Waukegan 393","1235","11","Democratic","507"
"49","0","LAKE","230","Brad Schneider","340","10TH CONGRESS","West Deerfield 402","646","11","Democratic","393"
"49","0","LAKE","230","Brad Schneider","340","10TH CONGRESS","West Deerfield 403","744","11","Democratic","269"
"49","0","LAKE","230","Brad Schneider","340","10TH CONGRESS","West Deerfield 404","983","11","Democratic","585"
"49","0","LAKE","230","Brad Schneider","340","10TH CONGRESS","West Deerfield 405","1142","11","Democratic","707"
"49","0","LAKE","230","Brad Schneider","340","10TH CONGRESS","West Deerfield 415","1211","11","Democratic","815"
"49","0","LAKE","230","Brad Schneider","340","10TH CONGRESS","Zion 427","758","11","Democratic","271"
"49","0","LAKE","230","Brad Schneider","340","10TH CONGRESS","Zion 430","909","11","Democratic","293"
"49","0","LAKE","235","Jim Carris","340","10TH CONGRESS","Antioch 9","1085","12","Republican","420"
"49","0","LAKE","235","Jim Carris","340","10TH CONGRESS","Avon 23","1172","12","Republican","230"
"49","0","LAKE","235","Jim Carris","340","10TH CONGRESS","Avon 37","850","12","Republican","237"
"49","0","LAKE","235","Jim Carris","340","10TH CONGRESS","Avon 51","1170","12","Republican","351"
"49","0","LAKE","235","Jim Carris","340","10TH CONGRESS","Benton 64","775","12","Republican","171"
"49","0","LAKE","235","Jim Carris","340","10TH CONGRESS","Fremont 108","1248","12","Republican","333"
"49","0","LAKE","235","Jim Carris","340","10TH CONGRESS","Grant 131","1163","12","Republican","359"
"49","0","LAKE","235","Jim Carris","340","10TH CONGRESS","Grant 141","850","12","Republican","243"
"49","0","LAKE","235","Jim Carris","340","10TH CONGRESS","Lake Villa 158","941","12","Republican","294"
"49","0","LAKE","235","Jim Carris","340","10TH CONGRESS","Lake Villa 170","1052","12","Republican","281"
"49","0","LAKE","235","Jim Carris","340","10TH CONGRESS","Lake Villa 173","1324","12","Republican","375"
