state,election_year,county,registered_voters,ballots_cast,president_votes,source_url,source_member
GA,2012,Glynn County,46963,33286,33124,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Glynn_42341_112368-summary.zip
GA,2012,Gordon County,25347,16989,16886,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Gordon_42342_112369-summary.zip
GA,2012,Grady County,14939,9459,9393,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Grady_42343_112370-summary.zip
GA,2012,Greene County,10525,8352,8323,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Greene_42344_112371-summary.zip
GA,2012,Gwinnett County,395934,297824,296496,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Gwinnett_42345_112372-summary.zip
GA,2012,Habersham County,22311,14710,14622,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Habersham_42346_112373-summary.zip
GA,2012,Hall County,85079,61633,61324,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Hall_42347_112374-summary.zip
GA,2012,Hancock County,5599,4118,4088,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Hancock_42348_112375-summary.zip
GA,2012,Haralson County,14543,10447,10372,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Haralson_42349_112376-summary.zip
GA,2012,Harris County,20258,15562,15487,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Harris_42350_112378-summary.zip
GA,2012,Hart County,12629,9572,9503,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Hart_42351_112379-summary.zip
GA,2012,Heard County,5462,4193,4169,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Heard_42352_112377-summary.zip
GA,2012,Henry County,123177,91700,91348,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Henry_42353_112380-summary.zip
GA,2012,Houston County,79762,58292,58003,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Houston_42354_112381-summary.zip
GA,2012,Irwin County,4825,3739,3709,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Irwin_42355_112387-summary.zip
GA,2012,Jackson County,31874,23791,23686,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Jackson_42356_112388-summary.zip
GA,2012,Jasper County,7972,6065,6031,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Jasper_42357_112389-summary.zip
GA,2012,Jeff Davis County,7469,5379,5336,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Jeff_Davis_42358_112390-summary.zip
GA,2012,Jefferson County,9806,7344,7298,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Jefferson_42359_112391-summary.zip
GA,2012,Jenkins County,4839,3421,3390,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Jenkins_42360_112392-summary.zip
GA,2012,Johnson County,4968,3796,3772,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Johnson_42361_112393-summary.zip
GA,2012,Jones County,15683,12165,12105,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Jones_42362_112395-summary.zip
GA,2012,Lamar County,11649,7647,7592,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Lamar_42363_112396-summary.zip
GA,2012,Lanier County,4258,2991,2972,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Lanier_42364_112397-summary.zip
GA,2012,Laurens County,26002,19739,19599,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Laurens_42365_112398-summary.zip
GA,2012,Lee County,18585,13669,13620,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Lee_42366_112399-summary.zip
GA,2012,Liberty County,26780,16248,16169,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Liberty_42367_112400-summary.zip
GA,2012,Lincoln County,5955,4459,4426,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Lincoln_42368_112402-summary.zip
GA,2012,Long County,6507,3841,3800,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Long_42369_112403-summary.zip
GA,2012,Lowndes County,51198,39343,39120,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Lowndes_42370_112404-summary.zip
GA,2012,Lumpkin County,15422,10977,10898,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Lumpkin_42371_112405-summary.zip
GA,2012,Macon County,6456,4817,4781,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Macon_42372_112406-summary.zip
GA,2012,Madison County,14243,11193,11089,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Madison_42373_112407-summary.zip
GA,2012,Marion County,4323,3207,3170,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Marion_42374_112409-summary.zip
GA,2012,McDuffie County,12129,9658,9589,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/McDuffie_42375_112410-summary.zip
GA,2012,McIntosh County,9030,6396,6341,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/McIntosh_42376_112411-summary.zip
GA,2012,Meriwether County,12950,9319,9263,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Meriwether_42377_112412-summary.zip
GA,2012,Miller County,3858,2805,2775,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Miller_42378_112413-summary.zip
GA,2012,Mitchell County,11586,8324,8275,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Mitchell_42379_112414-summary.zip
GA,2012,Monroe County,17363,12325,12274,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Monroe_42380_112415-summary.zip
GA,2012,Montgomery County,4789,3866,3831,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Montgomery_42381_112416-summary.zip
GA,2012,Morgan County,12263,9075,9027,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Morgan_42382_112417-summary.zip
GA,2012,Murray County,17208,11398,11213,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Murray_42383_112418-summary.zip
GA,2012,Muscogee County,120879,70962,70567,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Muscogee_42384_112419-summary.zip
