state,election_year,jurisdiction_code,jurisdiction_name,county,local_unit,level,ballots_cast,registered_voters,turnout_pct,denominator_type,denominator_timing,denominator_note,warning_required,source_url,source_title,source_status,notes
CA,2024,,Napa,Napa,Napa,county,66634,85045,78.35,registeredVoters,sos15DayReportOfRegistration,California SOS registered-voter totals from the 15-day Report of Registration; Same Day Voter Registration after the 15-day close is not included in registered-voter totals.,false,https://elections.cdn.sos.ca.gov/sov/2024-general/sov/03-voter-participation-stats-by-county.pdf,California SOS 2024 General Election voter participation statistics by county,loaded,Eligible 97259; precinct voters 4851; vote-by-mail voters 61783; eligible turnout 68.51%.
CA,2024,,Nevada,Nevada,Nevada,county,63240,75654,83.59,registeredVoters,sos15DayReportOfRegistration,California SOS registered-voter totals from the 15-day Report of Registration; Same Day Voter Registration after the 15-day close is not included in registered-voter totals.,false,https://elections.cdn.sos.ca.gov/sov/2024-general/sov/03-voter-participation-stats-by-county.pdf,California SOS 2024 General Election voter participation statistics by county,loaded,Eligible 81096; precinct voters 8047; vote-by-mail voters 55193; eligible turnout 77.98%.
CA,2024,,Orange,Orange,Orange,county,1417397,1862010,76.12,registeredVoters,sos15DayReportOfRegistration,California SOS registered-voter totals from the 15-day Report of Registration; Same Day Voter Registration after the 15-day close is not included in registered-voter totals.,false,https://elections.cdn.sos.ca.gov/sov/2024-general/sov/03-voter-participation-stats-by-county.pdf,California SOS 2024 General Election voter participation statistics by county,loaded,Eligible 2203227; precinct voters 323223; vote-by-mail voters 1094174; eligible turnout 64.33%.
CA,2024,,Placer,Placer,Placer,county,239402,291479,82.13,registeredVoters,sos15DayReportOfRegistration,California SOS registered-voter totals from the 15-day Report of Registration; Same Day Voter Registration after the 15-day close is not included in registered-voter totals.,false,https://elections.cdn.sos.ca.gov/sov/2024-general/sov/03-voter-participation-stats-by-county.pdf,California SOS 2024 General Election voter participation statistics by county,loaded,Eligible 305381; precinct voters 56964; vote-by-mail voters 182438; eligible turnout 78.39%.
CA,2024,,Plumas,Plumas,Plumas,county,10221,13699,74.61,registeredVoters,sos15DayReportOfRegistration,California SOS registered-voter totals from the 15-day Report of Registration; Same Day Voter Registration after the 15-day close is not included in registered-voter totals.,false,https://elections.cdn.sos.ca.gov/sov/2024-general/sov/03-voter-participation-stats-by-county.pdf,California SOS 2024 General Election voter participation statistics by county,loaded,Eligible 15311; precinct voters 0; vote-by-mail voters 10221; eligible turnout 66.76%.
CA,2024,,Riverside,Riverside,Riverside,county,959098,1372548,69.88,registeredVoters,sos15DayReportOfRegistration,California SOS registered-voter totals from the 15-day Report of Registration; Same Day Voter Registration after the 15-day close is not included in registered-voter totals.,false,https://elections.cdn.sos.ca.gov/sov/2024-general/sov/03-voter-participation-stats-by-county.pdf,California SOS 2024 General Election voter participation statistics by county,loaded,Eligible 1646951; precinct voters 170437; vote-by-mail voters 788661; eligible turnout 58.23%.
CA,2024,,Sacramento,Sacramento,Sacramento,county,668416,889806,75.12,registeredVoters,sos15DayReportOfRegistration,California SOS registered-voter totals from the 15-day Report of Registration; Same Day Voter Registration after the 15-day close is not included in registered-voter totals.,false,https://elections.cdn.sos.ca.gov/sov/2024-general/sov/03-voter-participation-stats-by-county.pdf,California SOS 2024 General Election voter participation statistics by county,loaded,Eligible 1116853; precinct voters 73650; vote-by-mail voters 594766; eligible turnout 59.85%.
CA,2024,,San Benito,San Benito,San Benito,county,28017,37685,74.35,registeredVoters,sos15DayReportOfRegistration,California SOS registered-voter totals from the 15-day Report of Registration; Same Day Voter Registration after the 15-day close is not included in registered-voter totals.,false,https://elections.cdn.sos.ca.gov/sov/2024-general/sov/03-voter-participation-stats-by-county.pdf,California SOS 2024 General Election voter participation statistics by county,loaded,Eligible 43948; precinct voters 3978; vote-by-mail voters 24039; eligible turnout 63.75%.
CA,2024,,San Bernardino,San Bernardino,San Bernardino,county,771834,1197953,64.43,registeredVoters,sos15DayReportOfRegistration,California SOS registered-voter totals from the 15-day Report of Registration; Same Day Voter Registration after the 15-day close is not included in registered-voter totals.,false,https://elections.cdn.sos.ca.gov/sov/2024-general/sov/03-voter-participation-stats-by-county.pdf,California SOS 2024 General Election voter participation statistics by county,loaded,Eligible 1472596; precinct voters 154974; vote-by-mail voters 616860; eligible turnout 52.41%.
CA,2024,,San Diego,San Diego,San Diego,county,1503018,1982264,75.82,registeredVoters,sos15DayReportOfRegistration,California SOS registered-voter totals from the 15-day Report of Registration; Same Day Voter Registration after the 15-day close is not included in registered-voter totals.,false,https://elections.cdn.sos.ca.gov/sov/2024-general/sov/03-voter-participation-stats-by-county.pdf,California SOS 2024 General Election voter participation statistics by county,loaded,Eligible 2353145; precinct voters 227714; vote-by-mail voters 1275304; eligible turnout 63.87%.
CA,2024,,San Francisco,San Francisco,San Francisco,county,412231,520203,79.24,registeredVoters,sos15DayReportOfRegistration,California SOS registered-voter totals from the 15-day Report of Registration; Same Day Voter Registration after the 15-day close is not included in registered-voter totals.,false,https://elections.cdn.sos.ca.gov/sov/2024-general/sov/03-voter-participation-stats-by-county.pdf,California SOS 2024 General Election voter participation statistics by county,loaded,Eligible 663453; precinct voters 58688; vote-by-mail voters 353543; eligible turnout 62.13%.
CA,2024,,San Joaquin,San Joaquin,San Joaquin,county,267627,385393,69.44,registeredVoters,sos15DayReportOfRegistration,California SOS registered-voter totals from the 15-day Report of Registration; Same Day Voter Registration after the 15-day close is not included in registered-voter totals.,false,https://elections.cdn.sos.ca.gov/sov/2024-general/sov/03-voter-participation-stats-by-county.pdf,California SOS 2024 General Election voter participation statistics by county,loaded,Eligible 517505; precinct voters 50833; vote-by-mail voters 216794; eligible turnout 51.71%.
