state,election_year,jurisdiction_name,county,local_unit,level,ballots_cast,registered_voters,turnout_pct,denominator_type,denominator_timing,denominator_note,warning_required,source_url,source_title,source_status,notes
NC,2024,Chowan County,Chowan County,Chowan County,county,7578,10681,70.9484,registeredVoters,ncsbeElectionTimeVoterStats,"NCSBE 2024 General registered-voter stats at election time; turnout numerator is NCSBE voter-history voters who participated, not presidential contest votes.",true,https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2024_11_05/history_stats_20241105.zip; https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2024_11_05/voter_stats_20241105.zip,North Carolina State Board of Elections 2024 General voter history and registered-voter stats ZIPs,loaded,State-native turnout-denominator lead generated by scripts/normalize-nc-turnout.mjs from official NCSBE grouped stats ZIPs; not active until history-stats voter counts versus ballots-cast semantics are reviewed.
NC,2024,Clay County,Clay County,Clay County,county,7750,10356,74.8358,registeredVoters,ncsbeElectionTimeVoterStats,"NCSBE 2024 General registered-voter stats at election time; turnout numerator is NCSBE voter-history voters who participated, not presidential contest votes.",true,https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2024_11_05/history_stats_20241105.zip; https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2024_11_05/voter_stats_20241105.zip,North Carolina State Board of Elections 2024 General voter history and registered-voter stats ZIPs,loaded,State-native turnout-denominator lead generated by scripts/normalize-nc-turnout.mjs from official NCSBE grouped stats ZIPs; not active until history-stats voter counts versus ballots-cast semantics are reviewed.
NC,2024,Cleveland County,Cleveland County,Cleveland County,county,51759,71052,72.8466,registeredVoters,ncsbeElectionTimeVoterStats,"NCSBE 2024 General registered-voter stats at election time; turnout numerator is NCSBE voter-history voters who participated, not presidential contest votes.",true,https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2024_11_05/history_stats_20241105.zip; https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2024_11_05/voter_stats_20241105.zip,North Carolina State Board of Elections 2024 General voter history and registered-voter stats ZIPs,loaded,State-native turnout-denominator lead generated by scripts/normalize-nc-turnout.mjs from official NCSBE grouped stats ZIPs; not active until history-stats voter counts versus ballots-cast semantics are reviewed.
NC,2024,Columbus County,Columbus County,Columbus County,county,26476,38088,69.5127,registeredVoters,ncsbeElectionTimeVoterStats,"NCSBE 2024 General registered-voter stats at election time; turnout numerator is NCSBE voter-history voters who participated, not presidential contest votes.",true,https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2024_11_05/history_stats_20241105.zip; https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2024_11_05/voter_stats_20241105.zip,North Carolina State Board of Elections 2024 General voter history and registered-voter stats ZIPs,loaded,State-native turnout-denominator lead generated by scripts/normalize-nc-turnout.mjs from official NCSBE grouped stats ZIPs; not active until history-stats voter counts versus ballots-cast semantics are reviewed.
NC,2024,Craven County,Craven County,Craven County,county,55915,79739,70.1225,registeredVoters,ncsbeElectionTimeVoterStats,"NCSBE 2024 General registered-voter stats at election time; turnout numerator is NCSBE voter-history voters who participated, not presidential contest votes.",true,https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2024_11_05/history_stats_20241105.zip; https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2024_11_05/voter_stats_20241105.zip,North Carolina State Board of Elections 2024 General voter history and registered-voter stats ZIPs,loaded,State-native turnout-denominator lead generated by scripts/normalize-nc-turnout.mjs from official NCSBE grouped stats ZIPs; not active until history-stats voter counts versus ballots-cast semantics are reviewed.
NC,2024,Cumberland County,Cumberland County,Cumberland County,county,140569,230310,61.0347,registeredVoters,ncsbeElectionTimeVoterStats,"NCSBE 2024 General registered-voter stats at election time; turnout numerator is NCSBE voter-history voters who participated, not presidential contest votes.",true,https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2024_11_05/history_stats_20241105.zip; https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2024_11_05/voter_stats_20241105.zip,North Carolina State Board of Elections 2024 General voter history and registered-voter stats ZIPs,loaded,State-native turnout-denominator lead generated by scripts/normalize-nc-turnout.mjs from official NCSBE grouped stats ZIPs; not active until history-stats voter counts versus ballots-cast semantics are reviewed.
NC,2024,Currituck County,Currituck County,Currituck County,county,18035,25213,71.5306,registeredVoters,ncsbeElectionTimeVoterStats,"NCSBE 2024 General registered-voter stats at election time; turnout numerator is NCSBE voter-history voters who participated, not presidential contest votes.",true,https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2024_11_05/history_stats_20241105.zip; https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2024_11_05/voter_stats_20241105.zip,North Carolina State Board of Elections 2024 General voter history and registered-voter stats ZIPs,loaded,State-native turnout-denominator lead generated by scripts/normalize-nc-turnout.mjs from official NCSBE grouped stats ZIPs; not active until history-stats voter counts versus ballots-cast semantics are reviewed.
NC,2024,Dare County,Dare County,Dare County,county,25283,34280,73.7544,registeredVoters,ncsbeElectionTimeVoterStats,"NCSBE 2024 General registered-voter stats at election time; turnout numerator is NCSBE voter-history voters who participated, not presidential contest votes.",true,https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2024_11_05/history_stats_20241105.zip; https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2024_11_05/voter_stats_20241105.zip,North Carolina State Board of Elections 2024 General voter history and registered-voter stats ZIPs,loaded,State-native turnout-denominator lead generated by scripts/normalize-nc-turnout.mjs from official NCSBE grouped stats ZIPs; not active until history-stats voter counts versus ballots-cast semantics are reviewed.
NC,2024,Davidson County,Davidson County,Davidson County,county,93655,121756,76.9202,registeredVoters,ncsbeElectionTimeVoterStats,"NCSBE 2024 General registered-voter stats at election time; turnout numerator is NCSBE voter-history voters who participated, not presidential contest votes.",true,https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2024_11_05/history_stats_20241105.zip; https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2024_11_05/voter_stats_20241105.zip,North Carolina State Board of Elections 2024 General voter history and registered-voter stats ZIPs,loaded,State-native turnout-denominator lead generated by scripts/normalize-nc-turnout.mjs from official NCSBE grouped stats ZIPs; not active until history-stats voter counts versus ballots-cast semantics are reviewed.
NC,2024,Davie County,Davie County,Davie County,county,26920,33702,79.8766,registeredVoters,ncsbeElectionTimeVoterStats,"NCSBE 2024 General registered-voter stats at election time; turnout numerator is NCSBE voter-history voters who participated, not presidential contest votes.",true,https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2024_11_05/history_stats_20241105.zip; https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2024_11_05/voter_stats_20241105.zip,North Carolina State Board of Elections 2024 General voter history and registered-voter stats ZIPs,loaded,State-native turnout-denominator lead generated by scripts/normalize-nc-turnout.mjs from official NCSBE grouped stats ZIPs; not active until history-stats voter counts versus ballots-cast semantics are reviewed.
