state,election_year,county,local_unit,pres_harris,pres_trump,pres_other,pres_total,comparison_dem,comparison_rep,comparison_other,comparison_total
AK,2024,Alaska,HD18 District 18  - Question,214,581,34,829,67,119,17,203
AK,2024,Alaska,HD18 District 18 - Early Voting,256,232,19,507,270,202,27,499
AK,2024,Alaska,HD19 19-3 District 19 - Absentee,774,308,49,1131,824,242,27,1093
AK,2024,Alaska,HD19 19-605 Airport Heights No. 1,440,250,30,720,490,198,26,714
AK,2024,Alaska,HD19 19-610 Airport Heights No. 2,310,371,39,720,383,283,39,705
AK,2024,Alaska,HD19 19-615 Mountainview No. 1,215,166,20,401,236,128,26,390
AK,2024,Alaska,HD19 19-620 Mountainview No. 2,178,184,14,376,212,134,23,369
AK,2024,Alaska,HD19 19-625 South Mountainview,215,229,16,460,238,184,23,445
AK,2024,Alaska,HD19 District 19  - Question,178,186,26,390,178,111,29,318
AK,2024,Alaska,HD19 District 19 - Early Voting,515,277,35,827,529,259,28,816
AK,2024,Alaska,HD20 20-3 District 20 - Absentee,1150,591,56,1797,1211,511,29,1751
AK,2024,Alaska,HD20 20-650 University No. 1,144,113,11,268,148,99,9,256
AK,2024,Alaska,HD20 20-655 University No. 2,443,426,45,914,496,354,52,902
AK,2024,Alaska,HD20 20-660 University No. 3,480,391,37,908,557,324,22,903
AK,2024,Alaska,HD20 20-665 University No. 4,221,180,23,424,241,162,11,414
AK,2024,Alaska,HD20 20-670 University No. 5,637,587,72,1296,734,515,32,1281
AK,2024,Alaska,HD20 District 20  - Question,164,183,19,366,148,116,28,292
AK,2024,Alaska,HD20 District 20 - Early Voting,685,570,39,1294,753,512,21,1286
AK,2024,Alaska,HD21 21-3 District 21 - Absentee,1567,798,99,2464,1651,714,44,2409
AK,2024,Alaska,HD21 21-705 East Anchorage No. 1,340,304,44,688,383,282,16,681
AK,2024,Alaska,HD21 21-710 East Anchorage No. 2,347,418,37,802,391,379,25,795
AK,2024,Alaska,HD21 21-715 East Anchorage No. 3,477,587,38,1102,557,502,38,1097
AK,2024,Alaska,HD21 21-720 East Anchorage No. 4,413,410,31,854,452,362,29,843
AK,2024,Alaska,HD21 21-725 East Anchorage No. 5,600,572,40,1212,661,510,35,1206
AK,2024,Alaska,HD21 District 21  - Question,171,198,20,389,175,136,27,338
AK,2024,Alaska,HD21 District 21 - Early Voting,796,697,39,1532,846,648,19,1513
AK,2024,Alaska,HD22 22-3 District 22 - Absentee,703,462,47,1212,724,417,36,1177
AK,2024,Alaska,HD22 22-750 Northeast Anchorage No. 1,384,401,38,823,441,328,39,808
AK,2024,Alaska,HD22 22-755 Northeast Anchorage No. 2,339,399,23,761,375,341,26,742
AK,2024,Alaska,HD22 22-760 Northeast Anchorage No. 3,428,408,48,884,487,358,30,875
AK,2024,Alaska,HD22 22-765 Northeast Anchorage No. 4,245,296,18,559,283,243,28,554
AK,2024,Alaska,HD22 District 22  - Question,114,181,12,307,117,101,27,245
AK,2024,Alaska,HD22 District 22 - Early Voting,447,447,23,917,474,400,29,903
AK,2024,Alaska,HD23 23-3 District 23 - Absentee,1344,1275,103,2722,1372,1172,82,2626
AK,2024,Alaska,HD23 23-805 Chugach Park No. 1,375,611,75,1061,461,546,42,1049
AK,2024,Alaska,HD23 23-810 Eagle River No. 1,219,368,39,626,264,328,33,625
AK,2024,Alaska,HD23 23-815 Eagle River No. 2,259,378,36,673,296,344,31,671
AK,2024,Alaska,HD23 23-820 Hiland,201,394,41,636,239,358,32,629
AK,2024,Alaska,HD23 23-825 Meadow Creek No. 1,277,411,31,719,317,363,36,716
AK,2024,Alaska,HD23 23-830 Meadow Creek No. 2,126,272,23,421,162,233,20,415
AK,2024,Alaska,HD23 District 23  - Question,93,206,24,323,83,128,20,231
AK,2024,Alaska,HD23 District 23 - Early Voting,1222,2186,96,3504,1346,2044,98,3488
AK,2024,Alaska,HD24 24-3 District 24 - Absentee,874,1076,85,2035,916,1010,48,1974
AK,2024,Alaska,HD24 24-850 Chugach Park No. 2,192,446,32,670,238,418,15,671
AK,2024,Alaska,HD24 24-855 Chugiak,101,249,17,367,124,220,20,364
AK,2024,Alaska,HD24 24-860 Eagle River No. 3,191,378,42,611,227,345,33,605
AK,2024,Alaska,HD24 24-865 Eklutna,198,408,34,640,237,370,26,633
AK,2024,Alaska,HD24 24-870 Fire Lake,228,468,24,720,265,420,28,713
AK,2024,Alaska,HD24 24-875 Peters Creek No. 1,242,689,44,975,300,618,50,968
AK,2024,Alaska,HD24 24-880 Peters Creek No. 2,147,357,21,525,173,324,24,521
AK,2024,Alaska,HD24 District 24  - Question,87,219,25,331,92,156,18,266
AK,2024,Alaska,HD24 District 24 - Early Voting,974,2192,78,3244,1085,2077,64,3226
AK,2024,Alaska,HD25 25-3 District 25 - Absentee,653,863,63,1579,695,771,57,1523
AK,2024,Alaska,HD25 25-305 Butte,278,863,54,1195,332,779,71,1182
AK,2024,Alaska,HD25 25-310 Greater Palmer,153,361,24,538,177,327,26,530
AK,2024,Alaska,HD25 25-315 Lazy Mountain,207,554,23,784,251,493,36,780
AK,2024,Alaska,HD25 25-320 Palmer City No. 1,170,347,31,548,208,295,32,535
AK,2024,Alaska,HD25 25-325 Palmer City No. 2,184,339,36,559,218,290,40,548
AK,2024,Alaska,HD25 25-330 Springer Loop,176,536,34,746,204,491,39,734
AK,2024,Alaska,HD25 25-335 Walby,138,495,30,663,170,465,17,652
AK,2024,Alaska,HD25 District 25  - Question,91,323,19,433,87,205,30,322
AK,2024,Alaska,HD25 District 25 - Early Voting,1122,2210,83,3415,1239,2071,68,3378
AK,2024,Alaska,HD26 26-3 District 26 - Absentee,450,898,30,1378,478,799,48,1325
AK,2024,Alaska,HD26 26-350 Fairview No. 1,76,392,29,497,101,351,34,486
AK,2024,Alaska,HD26 26-355 Fairview No. 2,91,282,18,391,114,246,19,379
AK,2024,Alaska,HD26 26-360 Knik Goose Bay No. 1,194,928,47,1169,257,804,78,1139
AK,2024,Alaska,HD26 26-365 Knik Goose Bay No. 2,157,599,24,780,186,514,65,765
AK,2024,Alaska,HD26 26-370 Knik Goose Bay No. 3,100,393,16,509,127,324,38,489
AK,2024,Alaska,HD26 26-375 Mat-Su Campus,164,440,22,626,191,400,28,619
