state,election_year,county,local_unit,pres_harris,pres_trump,pres_other,pres_total,comparison_dem,comparison_rep,comparison_other,comparison_total,cvr_rows,source_url
NV,2024,Washoe County,400500.1 (16400501),78,60,0,138,77,52,9,138,139,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,400700.1 (16400701),0,4,0,4,0,4,0,4,4,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,400900.1 (16400901),402,383,20,805,406,350,47,803,806,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,401200.1 (16401201),175,95,3,273,176,86,10,272,273,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,401400.1 (16401401),662,834,32,1528,683,769,69,1521,1535,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,401600.1 (16401601),91,84,1,176,93,71,10,174,176,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,401700.1 (16401701),451,441,16,908,448,397,53,898,911,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,401900.1 (16401901),352,275,17,644,344,250,47,641,646,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,402000.1 (16402001),65,40,2,107,69,35,3,107,108,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,402100.1 (16402101),249,318,6,573,263,297,12,572,574,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,402200.1 (16402201),6,11,0,17,6,11,0,17,17,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,402300.1 (16402301),128,143,1,272,125,119,24,268,273,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,402400.1 (16402401),464,432,13,909,459,376,61,896,909,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,402500.1 (16402501),491,509,12,1012,499,448,54,1001,1013,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,403100.1 (16403101),3,13,0,16,3,13,0,16,16,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,403300.1 (16403301),338,253,8,599,342,233,22,597,602,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,403500.1 (16403501),352,374,8,734,364,333,36,733,737,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,403700.1 (16403701),440,421,11,872,433,384,48,865,873,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,403900.1 (16403901),431,405,14,850,430,356,57,843,851,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,404000.1 (16404001),0,2,0,2,0,2,0,2,2,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,404100.1 (16404101),1,0,0,1,1,0,0,1,1,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,404300.1 (16404301),119,106,7,232,120,90,22,232,233,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,500000.1 (16500001),664,277,22,963,672,251,35,958,965,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,500100.1 (16500101),5,12,1,18,7,10,1,18,18,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,500600.1 (16500601),90,48,3,141,92,43,6,141,141,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,500800.1 (16500801),768,395,28,1191,768,376,43,1187,1192,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,500900.1 (16500901),321,143,7,471,322,128,16,466,471,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,501100.1 (16501101),997,620,37,1654,1003,581,55,1639,1655,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,501200.1 (16501201),576,335,22,933,589,296,43,928,933,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,501300.1 (16501301),559,410,13,982,566,358,47,971,983,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,501400.1 (16501401),803,634,36,1473,820,592,57,1469,1474,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
