state,election_year,jurisdiction_name,jurisdiction_geoid,jurisdiction_tag,county,local_unit,source_id,source_level,row_method,source_url,source_display_name,source_jurisdiction_name,dem_votes,rep_votes,other_votes,total_votes,notes
MO,2012,Howell County,29091,county:29091,Howell County,Howell County,mo-historical-presidential-sos-county-pdfs,county,missouriSosOfficialCountyPdf,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/OfficialResults11-6-12.pdf,Howell County,Howell County,4395,11544,407,16346,
MO,2012,Iron County,29093,county:29093,Iron County,Iron County,mo-historical-presidential-sos-county-pdfs,county,missouriSosOfficialCountyPdf,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/OfficialResults11-6-12.pdf,Iron County,Iron County,1669,2252,110,4031,
MO,2012,Jackson County,29095,county:29095,Jackson County,Jackson County,mo-historical-presidential-sos-county-pdfs,county,missouriSosOfficialCountyPdfKansasCityWithinJacksonCountyAggregation,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/OfficialResults11-6-12.pdf,Jackson County + Kansas City,Jackson County + Kansas City,183953,122708,4916,311577,Aggregated the Kansas City election-authority row into Jackson County because the Missouri Secretary of State identifies that jurisdiction as Kansas City within Jackson County.
MO,2012,Jasper County,29097,county:29097,Jasper County,Jasper County,mo-historical-presidential-sos-county-pdfs,county,missouriSosOfficialCountyPdf,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/OfficialResults11-6-12.pdf,Jasper County,Jasper County,12809,31349,1060,45218,
MO,2012,Jefferson County,29099,county:29099,Jefferson County,Jefferson County,mo-historical-presidential-sos-county-pdfs,county,missouriSosOfficialCountyPdf,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/OfficialResults11-6-12.pdf,Jefferson County,Jefferson County,41564,53978,2069,97611,
MO,2012,Johnson County,29101,county:29101,Johnson County,Johnson County,mo-historical-presidential-sos-county-pdfs,county,missouriSosOfficialCountyPdf,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/OfficialResults11-6-12.pdf,Johnson County,Johnson County,7667,12763,591,21021,
MO,2012,Knox County,29103,county:29103,Knox County,Knox County,mo-historical-presidential-sos-county-pdfs,county,missouriSosOfficialCountyPdf,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/OfficialResults11-6-12.pdf,Knox County,Knox County,698,1205,54,1957,
MO,2012,Laclede County,29105,county:29105,Laclede County,Laclede County,mo-historical-presidential-sos-county-pdfs,county,missouriSosOfficialCountyPdf,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/OfficialResults11-6-12.pdf,Laclede County,Laclede County,4093,10934,335,15362,
MO,2012,Lafayette County,29107,county:29107,Lafayette County,Lafayette County,mo-historical-presidential-sos-county-pdfs,county,missouriSosOfficialCountyPdf,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/OfficialResults11-6-12.pdf,Lafayette County,Lafayette County,5655,9803,337,15795,
MO,2012,Lawrence County,29109,county:29109,Lawrence County,Lawrence County,mo-historical-presidential-sos-county-pdfs,county,missouriSosOfficialCountyPdf,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/OfficialResults11-6-12.pdf,Lawrence County,Lawrence County,4017,11421,317,15755,
MO,2012,Lewis County,29111,county:29111,Lewis County,Lewis County,mo-historical-presidential-sos-county-pdfs,county,missouriSosOfficialCountyPdf,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/OfficialResults11-6-12.pdf,Lewis County,Lewis County,1508,2677,94,4279,
MO,2012,Lincoln County,29113,county:29113,Lincoln County,Lincoln County,mo-historical-presidential-sos-county-pdfs,county,missouriSosOfficialCountyPdf,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/OfficialResults11-6-12.pdf,Lincoln County,Lincoln County,7734,14332,586,22652,
MO,2012,Linn County,29115,county:29115,Linn County,Linn County,mo-historical-presidential-sos-county-pdfs,county,missouriSosOfficialCountyPdf,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/OfficialResults11-6-12.pdf,Linn County,Linn County,2041,3344,165,5550,
MO,2012,Livingston County,29117,county:29117,Livingston County,Livingston County,mo-historical-presidential-sos-county-pdfs,county,missouriSosOfficialCountyPdf,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/OfficialResults11-6-12.pdf,Livingston County,Livingston County,1906,4006,142,6054,
MO,2012,Macon County,29121,county:29121,Macon County,Macon County,mo-historical-presidential-sos-county-pdfs,county,missouriSosOfficialCountyPdf,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/OfficialResults11-6-12.pdf,Macon County,Macon County,2309,4701,150,7160,
MO,2012,Madison County,29123,county:29123,Madison County,Madison County,mo-historical-presidential-sos-county-pdfs,county,missouriSosOfficialCountyPdf,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/OfficialResults11-6-12.pdf,Madison County,Madison County,1588,3227,115,4930,
MO,2012,Maries County,29125,county:29125,Maries County,Maries County,mo-historical-presidential-sos-county-pdfs,county,missouriSosOfficialCountyPdf,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/OfficialResults11-6-12.pdf,Maries County,Maries County,1299,3165,74,4538,
MO,2012,Marion County,29127,county:29127,Marion County,Marion County,mo-historical-presidential-sos-county-pdfs,county,missouriSosOfficialCountyPdf,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/OfficialResults11-6-12.pdf,Marion County,Marion County,4031,7923,204,12158,
MO,2012,McDonald County,29119,county:29119,McDonald County,McDonald County,mo-historical-presidential-sos-county-pdfs,county,missouriSosOfficialCountyPdf,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/OfficialResults11-6-12.pdf,McDonald County,McDonald County,1920,5694,203,7817,
MO,2012,Mercer County,29129,county:29129,Mercer County,Mercer County,mo-historical-presidential-sos-county-pdfs,county,missouriSosOfficialCountyPdf,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/OfficialResults11-6-12.pdf,Mercer County,Mercer County,353,1255,47,1655,
MO,2012,Miller County,29131,county:29131,Miller County,Miller County,mo-historical-presidential-sos-county-pdfs,county,missouriSosOfficialCountyPdf,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/OfficialResults11-6-12.pdf,Miller County,Miller County,2651,8099,269,11019,
MO,2012,Mississippi County,29133,county:29133,Mississippi County,Mississippi County,mo-historical-presidential-sos-county-pdfs,county,missouriSosOfficialCountyPdf,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/OfficialResults11-6-12.pdf,Mississippi County,Mississippi County,1858,2997,65,4920,
MO,2012,Moniteau County,29135,county:29135,Moniteau County,Moniteau County,mo-historical-presidential-sos-county-pdfs,county,missouriSosOfficialCountyPdf,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/OfficialResults11-6-12.pdf,Moniteau County,Moniteau County,1608,4704,131,6443,
MO,2012,Monroe County,29137,county:29137,Monroe County,Monroe County,mo-historical-presidential-sos-county-pdfs,county,missouriSosOfficialCountyPdf,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/OfficialResults11-6-12.pdf,Monroe County,Monroe County,1398,2564,95,4057,
MO,2012,Montgomery County,29139,county:29139,Montgomery County,Montgomery County,mo-historical-presidential-sos-county-pdfs,county,missouriSosOfficialCountyPdf,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/OfficialResults11-6-12.pdf,Montgomery County,Montgomery County,1740,3490,97,5327,
MO,2012,Morgan County,29141,county:29141,Morgan County,Morgan County,mo-historical-presidential-sos-county-pdfs,county,missouriSosOfficialCountyPdf,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/OfficialResults11-6-12.pdf,Morgan County,Morgan County,2773,5733,182,8688,
MO,2012,New Madrid County,29143,county:29143,New Madrid County,New Madrid County,mo-historical-presidential-sos-county-pdfs,county,missouriSosOfficialCountyPdf,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/OfficialResults11-6-12.pdf,New Madrid County,New Madrid County,2814,4284,152,7250,
MO,2012,Newton County,29145,county:29145,Newton County,Newton County,mo-historical-presidential-sos-county-pdfs,county,missouriSosOfficialCountyPdf,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/OfficialResults11-6-12.pdf,Newton County,Newton County,6425,18181,477,25083,
MO,2012,Nodaway County,29147,county:29147,Nodaway County,Nodaway County,mo-historical-presidential-sos-county-pdfs,county,missouriSosOfficialCountyPdf,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/OfficialResults11-6-12.pdf,Nodaway County,Nodaway County,3172,5593,211,8976,
