state,election_year,jurisdiction_name,county,local_unit,jurisdiction_tag,source_id,source_level,row_method,source_url,dem_votes,rep_votes,other_votes,total_votes
OK,2020,Pushmataha County,Pushmataha County,Pushmataha County,county:40127,ok-2020-official-app-president-county-results,county,oklahomaOfficialResultsAppCountyTable2020,https://results.okelections.gov/OKER/?elecDate=20201103,668,4016,55,4739
OK,2020,Roger Mills County,Roger Mills County,Roger Mills County,county:40129,ok-2020-official-app-president-county-results,county,oklahomaOfficialResultsAppCountyTable2020,https://results.okelections.gov/OKER/?elecDate=20201103,168,1629,37,1834
OK,2020,Rogers County,Rogers County,Rogers County,county:40131,ok-2020-official-app-president-county-results,county,oklahomaOfficialResultsAppCountyTable2020,https://results.okelections.gov/OKER/?elecDate=20201103,9589,34031,933,44553
OK,2020,Seminole County,Seminole County,Seminole County,county:40133,ok-2020-official-app-president-county-results,county,oklahomaOfficialResultsAppCountyTable2020,https://results.okelections.gov/OKER/?elecDate=20201103,2150,6011,176,8337
OK,2020,Sequoyah County,Sequoyah County,Sequoyah County,county:40135,ok-2020-official-app-president-county-results,county,oklahomaOfficialResultsAppCountyTable2020,https://results.okelections.gov/OKER/?elecDate=20201103,3035,12113,238,15386
OK,2020,Stephens County,Stephens County,Stephens County,county:40137,ok-2020-official-app-president-county-results,county,oklahomaOfficialResultsAppCountyTable2020,https://results.okelections.gov/OKER/?elecDate=20201103,3154,15560,343,19057
OK,2020,Texas County,Texas County,Texas County,county:40139,ok-2020-official-app-president-county-results,county,oklahomaOfficialResultsAppCountyTable2020,https://results.okelections.gov/OKER/?elecDate=20201103,894,4505,122,5521
OK,2020,Tillman County,Tillman County,Tillman County,county:40141,ok-2020-official-app-president-county-results,county,oklahomaOfficialResultsAppCountyTable2020,https://results.okelections.gov/OKER/?elecDate=20201103,597,2076,35,2708
OK,2020,Tulsa County,Tulsa County,Tulsa County,county:40143,ok-2020-official-app-president-county-results,county,oklahomaOfficialResultsAppCountyTable2020,https://results.okelections.gov/OKER/?elecDate=20201103,108996,150574,7108,266678
OK,2020,Wagoner County,Wagoner County,Wagoner County,county:40145,ok-2020-official-app-president-county-results,county,oklahomaOfficialResultsAppCountyTable2020,https://results.okelections.gov/OKER/?elecDate=20201103,8464,26165,709,35338
OK,2020,Washington County,Washington County,Washington County,county:40147,ok-2020-official-app-president-county-results,county,oklahomaOfficialResultsAppCountyTable2020,https://results.okelections.gov/OKER/?elecDate=20201103,5790,17076,635,23501
OK,2020,Washita County,Washita County,Washita County,county:40149,ok-2020-official-app-president-county-results,county,oklahomaOfficialResultsAppCountyTable2020,https://results.okelections.gov/OKER/?elecDate=20201103,598,4086,93,4777
OK,2020,Woods County,Woods County,Woods County,county:40151,ok-2020-official-app-president-county-results,county,oklahomaOfficialResultsAppCountyTable2020,https://results.okelections.gov/OKER/?elecDate=20201103,591,2993,94,3678
OK,2020,Woodward County,Woodward County,Woodward County,county:40153,ok-2020-official-app-president-county-results,county,oklahomaOfficialResultsAppCountyTable2020,https://results.okelections.gov/OKER/?elecDate=20201103,1005,6611,169,7785
