state,election_year,jurisdiction_code,jurisdiction_name,jurisdiction_geoid,jurisdiction_tag,county,local_unit,level,ballots_cast,registered_voters,turnout_pct,denominator_type,denominator_timing,denominator_note,warning_required,source_url,source_title,source_status,source_jurisdictions,normalization_note
MO,2024,29053,Cooper County,29053,county:29053,Cooper County,Cooper County,county,8835,12215,72.33,registeredVoters,sosElectionTurnoutReport,Missouri SOS registered voters from the official 2024 General Election voter turnout report.,false,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/Nov2024OfficialVoterTurnout.pdf,Missouri SOS 2024 General Election voter turnout report,loaded,Cooper County,
MO,2024,29055,Crawford County,29055,county:29055,Crawford County,Crawford County,county,10829,16878,64.16,registeredVoters,sosElectionTurnoutReport,Missouri SOS registered voters from the official 2024 General Election voter turnout report.,false,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/Nov2024OfficialVoterTurnout.pdf,Missouri SOS 2024 General Election voter turnout report,loaded,Crawford County,
MO,2024,29057,Dade County,29057,county:29057,Dade County,Dade County,county,4186,5909,70.84,registeredVoters,sosElectionTurnoutReport,Missouri SOS registered voters from the official 2024 General Election voter turnout report.,false,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/Nov2024OfficialVoterTurnout.pdf,Missouri SOS 2024 General Election voter turnout report,loaded,Dade County,
MO,2024,29059,Dallas County,29059,county:29059,Dallas County,Dallas County,county,8441,11986,70.42,registeredVoters,sosElectionTurnoutReport,Missouri SOS registered voters from the official 2024 General Election voter turnout report.,false,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/Nov2024OfficialVoterTurnout.pdf,Missouri SOS 2024 General Election voter turnout report,loaded,Dallas County,
MO,2024,29061,Daviess County,29061,county:29061,Daviess County,Daviess County,county,3925,5545,70.78,registeredVoters,sosElectionTurnoutReport,Missouri SOS registered voters from the official 2024 General Election voter turnout report.,false,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/Nov2024OfficialVoterTurnout.pdf,Missouri SOS 2024 General Election voter turnout report,loaded,Daviess County,
MO,2024,29063,DeKalb County,29063,county:29063,DeKalb County,DeKalb County,county,4814,6701,71.84,registeredVoters,sosElectionTurnoutReport,Missouri SOS registered voters from the official 2024 General Election voter turnout report.,false,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/Nov2024OfficialVoterTurnout.pdf,Missouri SOS 2024 General Election voter turnout report,loaded,De Kalb County,Normalized the source display name De Kalb County to the Census county display name DeKalb County.
MO,2024,29065,Dent County,29065,county:29065,Dent County,Dent County,county,7103,10226,69.46,registeredVoters,sosElectionTurnoutReport,Missouri SOS registered voters from the official 2024 General Election voter turnout report.,false,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/Nov2024OfficialVoterTurnout.pdf,Missouri SOS 2024 General Election voter turnout report,loaded,Dent County,
MO,2024,29067,Douglas County,29067,county:29067,Douglas County,Douglas County,county,7289,10286,70.86,registeredVoters,sosElectionTurnoutReport,Missouri SOS registered voters from the official 2024 General Election voter turnout report.,false,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/Nov2024OfficialVoterTurnout.pdf,Missouri SOS 2024 General Election voter turnout report,loaded,Douglas County,
MO,2024,29069,Dunklin County,29069,county:29069,Dunklin County,Dunklin County,county,10051,18892,53.20,registeredVoters,sosElectionTurnoutReport,Missouri SOS registered voters from the official 2024 General Election voter turnout report.,false,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/Nov2024OfficialVoterTurnout.pdf,Missouri SOS 2024 General Election voter turnout report,loaded,Dunklin County,
MO,2024,29071,Franklin County,29071,county:29071,Franklin County,Franklin County,county,55464,77817,71.27,registeredVoters,sosElectionTurnoutReport,Missouri SOS registered voters from the official 2024 General Election voter turnout report.,false,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/Nov2024OfficialVoterTurnout.pdf,Missouri SOS 2024 General Election voter turnout report,loaded,Franklin County,
MO,2024,29073,Gasconade County,29073,county:29073,Gasconade County,Gasconade County,county,7997,10869,73.58,registeredVoters,sosElectionTurnoutReport,Missouri SOS registered voters from the official 2024 General Election voter turnout report.,false,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/Nov2024OfficialVoterTurnout.pdf,Missouri SOS 2024 General Election voter turnout report,loaded,Gasconade County,
MO,2024,29075,Gentry County,29075,county:29075,Gentry County,Gentry County,county,3292,4778,68.90,registeredVoters,sosElectionTurnoutReport,Missouri SOS registered voters from the official 2024 General Election voter turnout report.,false,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/Nov2024OfficialVoterTurnout.pdf,Missouri SOS 2024 General Election voter turnout report,loaded,Gentry County,
MO,2024,29077,Greene County,29077,county:29077,Greene County,Greene County,county,144086,214710,67.11,registeredVoters,sosElectionTurnoutReport,Missouri SOS registered voters from the official 2024 General Election voter turnout report.,false,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/Nov2024OfficialVoterTurnout.pdf,Missouri SOS 2024 General Election voter turnout report,loaded,Greene County,
MO,2024,29079,Grundy County,29079,county:29079,Grundy County,Grundy County,county,4404,6279,70.14,registeredVoters,sosElectionTurnoutReport,Missouri SOS registered voters from the official 2024 General Election voter turnout report.,false,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/Nov2024OfficialVoterTurnout.pdf,Missouri SOS 2024 General Election voter turnout report,loaded,Grundy County,
MO,2024,29081,Harrison County,29081,county:29081,Harrison County,Harrison County,county,3845,5400,71.20,registeredVoters,sosElectionTurnoutReport,Missouri SOS registered voters from the official 2024 General Election voter turnout report.,false,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/Nov2024OfficialVoterTurnout.pdf,Missouri SOS 2024 General Election voter turnout report,loaded,Harrison County,
MO,2024,29083,Henry County,29083,county:29083,Henry County,Henry County,county,10932,16184,67.55,registeredVoters,sosElectionTurnoutReport,Missouri SOS registered voters from the official 2024 General Election voter turnout report.,false,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/Nov2024OfficialVoterTurnout.pdf,Missouri SOS 2024 General Election voter turnout report,loaded,Henry County,
MO,2024,29085,Hickory County,29085,county:29085,Hickory County,Hickory County,county,5120,7226,70.86,registeredVoters,sosElectionTurnoutReport,Missouri SOS registered voters from the official 2024 General Election voter turnout report.,false,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/Nov2024OfficialVoterTurnout.pdf,Missouri SOS 2024 General Election voter turnout report,loaded,Hickory County,
MO,2024,29087,Holt County,29087,county:29087,Holt County,Holt County,county,2352,3244,72.50,registeredVoters,sosElectionTurnoutReport,Missouri SOS registered voters from the official 2024 General Election voter turnout report.,false,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/Nov2024OfficialVoterTurnout.pdf,Missouri SOS 2024 General Election voter turnout report,loaded,Holt County,
MO,2024,29089,Howard County,29089,county:29089,Howard County,Howard County,county,4956,6819,72.68,registeredVoters,sosElectionTurnoutReport,Missouri SOS registered voters from the official 2024 General Election voter turnout report.,false,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/Nov2024OfficialVoterTurnout.pdf,Missouri SOS 2024 General Election voter turnout report,loaded,Howard County,
MO,2024,29091,Howell County,29091,county:29091,Howell County,Howell County,county,18968,28059,67.60,registeredVoters,sosElectionTurnoutReport,Missouri SOS registered voters from the official 2024 General Election voter turnout report.,false,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/Nov2024OfficialVoterTurnout.pdf,Missouri SOS 2024 General Election voter turnout report,loaded,Howell County,
MO,2024,29093,Iron County,29093,county:29093,Iron County,Iron County,county,4518,7002,64.52,registeredVoters,sosElectionTurnoutReport,Missouri SOS registered voters from the official 2024 General Election voter turnout report.,false,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/Nov2024OfficialVoterTurnout.pdf,Missouri SOS 2024 General Election voter turnout report,loaded,Iron County,
MO,2024,29095,Jackson County,29095,county:29095,Jackson County,Jackson County,county,318017,507182,62.70,registeredVoters,sosElectionTurnoutReport,Missouri SOS registered voters from the official 2024 General Election voter turnout report.,false,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/Nov2024OfficialVoterTurnout.pdf,Missouri SOS 2024 General Election voter turnout report,loaded,Jackson County + Kansas City,Aggregated the Kansas City election-authority row into Jackson County because the Missouri Secretary of State identifies that jurisdiction as Kansas City within Jackson County.
MO,2024,29097,Jasper County,29097,county:29097,Jasper County,Jasper County,county,53807,84774,63.47,registeredVoters,sosElectionTurnoutReport,Missouri SOS registered voters from the official 2024 General Election voter turnout report.,false,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/Nov2024OfficialVoterTurnout.pdf,Missouri SOS 2024 General Election voter turnout report,loaded,Jasper County,
