Office,Parish,"Joseph R. Biden, Kamala Harris Democratic (DEM)","Jo Jorgensen, Jeremy Cohen Libertarian (LBT)","Donald J. Trump, Michael Pence Republican (REP)","Brian Carroll, Amar Patel American Solidarity Party (OTH)","Jade Simmons, Claudeliah Roze Becoming One Nation (OTH)","President Boddie,Eric Stoneham C.U.P. (OTH)","Don Blankenship, William Mohr Constitution Party (OTH)","Brock Pierce, Karla Ballard Freedom and Prosperity (OTH)","Tom Hoefling, Andy Prior Life, Liberty, Constitution (OTH)","Gloria La Riva, Sunil Freeman Socialism and Liberation (OTH)","Alyson Kennedy,Malcolm Jarrett Socialist Workers Party (OTH)","Kanye West, Michelle Tidball The Birthday Party (OTH)","Bill Hammons, Eric Bodenstab Unity Party America (OTH)"
"Presidential Electors","East Baton Rouge","115577","2440","88420","329","219","103","76","77","82","111","45","619","84"
"Presidential Electors","East Carroll","1900","20","1080","12","1","12","1","1","0","2","1","4","2"
"Presidential Electors","East Feliciana","4280","89","6064","10","6","11","14","4","6","5","0","16","4"
"Presidential Electors","Evangeline","4158","96","11053","22","11","19","5","5","5","7","5","22","4"
"Presidential Electors","Franklin","2658","45","6970","10","6","7","3","5","0","4","3","8","1"
"Presidential Electors","Grant","1157","79","8117","10","6","2","7","4","3","1","0","5","1"
"Presidential Electors","Iberia","11027","253","21251","30","23","20","10","11","10","8","5","60","5"
"Presidential Electors","Iberville","8514","141","7893","27","16","31","6","11","8","3","5","57","7"
"Presidential Electors","Jackson","2143","51","5394","10","3","2","3","3","3","2","0","16","2"
"Presidential Electors","Jefferson","84477","1935","105949","215","134","86","101","66","59","86","39","532","54"
"Presidential Electors","Jefferson Davis","3208","131","11423","19","9","4","3","5","2","6","2","22","7"
"Presidential Electors","Lafayette","39685","1512","72519","168","95","37","36","47","32","73","29","256","32"
"Presidential Electors","Lafourche","8672","424","36024","54","21","19","21","17","12","18","8","80","18"
"Presidential Electors","Lasalle","638","39","6378","4","1","1","4","1","3","2","0","5","1"
"Presidential Electors","Lincoln","7559","276","11311","27","16","9","3","4","9","8","2","40","11"
"Presidential Electors","Livingston","9249","817","54877","51","29","9","22","13","21","15","12","98","17"
"Presidential Electors","Madison","2654","23","1930","11","8","10","4","7","1","1","3","12","6"
"Presidential Electors","Morehouse","4946","56","6510","8","11","9","5","3","5","4","5","8","4"
"Presidential Electors","Natchitoches","6896","172","9358","23","22","12","12","6","5","7","9","28","4"
"Presidential Electors","Orleans","147854","1603","26664","178","132","100","42","76","37","262","111","708","52"
"Presidential Electors","Ouachita","25913","624","42255","69","48","33","22","15","19","18","11","125","14"
"Presidential Electors","Plaquemines","3414","103","7412","17","6","7","2","6","6","4","1","31","5"
"Presidential Electors","Pointe Coupee","4683","94","7503","17","7","11","5","6","6","2","5","21","11"
"Presidential Electors","Rapides","19475","693","38347","48","47","22","23","18","16","20","15","125","16"
"Presidential Electors","Red River","1644","31","2413","5","4","10","4","1","3","2","4","10","1"
"Presidential Electors","Richland","3225","53","6607","11","4","11","5","3","3","3","2","12","1"
"Presidential Electors","Sabine","1731","49","8776","8","6","4","3","2","3","2","1","8","3"
"Presidential Electors","St. Bernard","6151","188","11179","12","15","16","8","6","7","8","5","49","6"
"Presidential Electors","St. Charles","9800","294","18233","38","23","3","14","13","12","9","4","63","11"
"Presidential Electors","St. Helena","3346","43","2714","14","2","11","7","2","2","4","0","10","3"
"Presidential Electors","St. James","6510","47","5954","12","7","14","10","5","1","3","1","23","3"
"Presidential Electors","St. John The Baptist","13582","118","7538","28","20","34","9","16","2","7","6","63","9"
"Presidential Electors","St. Landry","17372","301","23171","55","55","37","25","17","9","10","9","78","15"
"Presidential Electors","St. Martin","8439","205","18203","34","16","23","16","12","2","11","11","55","11"
"Presidential Electors","St. Mary","8055","173","14811","31","13","16","6","7","11","4","4","52","3"
"Presidential Electors","St. Tammany","37746","1868","99666","152","81","34","56","45","43","47","31","287","54"
"Presidential Electors","Tangipahoa","18887","589","37806","63","42","37","14","17","24","17","12","136","17"
"Presidential Electors","Tensas","1329","11","1197","4","2","2","0","0","2","1","0","4","2"
"Presidential Electors","Terrebonne","11198","434","34339","51","25","27","17","15","16","17","9","81","11"
"Presidential Electors","Union","2654","76","8407","12","5","11","5","3","2","5","4","14","3"
"Presidential Electors","Vermilion","5009","228","21930","36","17","6","10","12","7","9","9","45","6"
"Presidential Electors","Vernon","2898","188","14107","8","16","4","11","3","5","2","4","18","4"
"Presidential Electors","Washington","5970","120","13307","28","16","4","5","3","9","4","3","40","4"
"Presidential Electors","Webster","6172","119","11830","9","17","9","6","5","3","7","5","24","10"
"Presidential Electors","West Baton Rouge","6200","122","7684","10","8","7","2","5","2","8","3","42","4"
"Presidential Electors","West Carroll","710","12","4317","3","3","1","0","1","1","0","1","3","0"
"Presidential Electors","West Feliciana","2298","66","3863","6","3","4","4","1","5","1","0","15","2"
"Presidential Electors","Winn","1543","36","4619","3","4","2","5","3","0","4","0","4","2"
