state,election_year,county_code,county,biden_votes,trump_votes,other_votes,total_votes,jurisdiction_tag,source_url,source_page
OK,2020,61,Pittsburg County,3768,13851,305,17924,county:40121,https://results.okelections.gov/OKER/?elecDate=20201103,https://oklahoma.gov/elections/elections-results/election-results/2020-election-results/2020-november-general-election.html
OK,2020,62,Pontotoc County,4117,10805,398,15320,county:40123,https://results.okelections.gov/OKER/?elecDate=20201103,https://oklahoma.gov/elections/elections-results/election-results/2020-election-results/2020-november-general-election.html
OK,2020,63,Pottawatomie County,7275,20240,670,28185,county:40125,https://results.okelections.gov/OKER/?elecDate=20201103,https://oklahoma.gov/elections/elections-results/election-results/2020-election-results/2020-november-general-election.html
OK,2020,64,Pushmataha County,668,4016,55,4739,county:40127,https://results.okelections.gov/OKER/?elecDate=20201103,https://oklahoma.gov/elections/elections-results/election-results/2020-election-results/2020-november-general-election.html
OK,2020,65,Roger Mills County,168,1629,37,1834,county:40129,https://results.okelections.gov/OKER/?elecDate=20201103,https://oklahoma.gov/elections/elections-results/election-results/2020-election-results/2020-november-general-election.html
OK,2020,66,Rogers County,9589,34031,933,44553,county:40131,https://results.okelections.gov/OKER/?elecDate=20201103,https://oklahoma.gov/elections/elections-results/election-results/2020-election-results/2020-november-general-election.html
OK,2020,67,Seminole County,2150,6011,176,8337,county:40133,https://results.okelections.gov/OKER/?elecDate=20201103,https://oklahoma.gov/elections/elections-results/election-results/2020-election-results/2020-november-general-election.html
OK,2020,68,Sequoyah County,3035,12113,238,15386,county:40135,https://results.okelections.gov/OKER/?elecDate=20201103,https://oklahoma.gov/elections/elections-results/election-results/2020-election-results/2020-november-general-election.html
OK,2020,69,Stephens County,3154,15560,343,19057,county:40137,https://results.okelections.gov/OKER/?elecDate=20201103,https://oklahoma.gov/elections/elections-results/election-results/2020-election-results/2020-november-general-election.html
OK,2020,70,Texas County,894,4505,122,5521,county:40139,https://results.okelections.gov/OKER/?elecDate=20201103,https://oklahoma.gov/elections/elections-results/election-results/2020-election-results/2020-november-general-election.html
OK,2020,71,Tillman County,597,2076,35,2708,county:40141,https://results.okelections.gov/OKER/?elecDate=20201103,https://oklahoma.gov/elections/elections-results/election-results/2020-election-results/2020-november-general-election.html
OK,2020,72,Tulsa County,108996,150574,7108,266678,county:40143,https://results.okelections.gov/OKER/?elecDate=20201103,https://oklahoma.gov/elections/elections-results/election-results/2020-election-results/2020-november-general-election.html
OK,2020,73,Wagoner County,8464,26165,709,35338,county:40145,https://results.okelections.gov/OKER/?elecDate=20201103,https://oklahoma.gov/elections/elections-results/election-results/2020-election-results/2020-november-general-election.html
OK,2020,74,Washington County,5790,17076,635,23501,county:40147,https://results.okelections.gov/OKER/?elecDate=20201103,https://oklahoma.gov/elections/elections-results/election-results/2020-election-results/2020-november-general-election.html
OK,2020,75,Washita County,598,4086,93,4777,county:40149,https://results.okelections.gov/OKER/?elecDate=20201103,https://oklahoma.gov/elections/elections-results/election-results/2020-election-results/2020-november-general-election.html
OK,2020,76,Woods County,591,2993,94,3678,county:40151,https://results.okelections.gov/OKER/?elecDate=20201103,https://oklahoma.gov/elections/elections-results/election-results/2020-election-results/2020-november-general-election.html
OK,2020,77,Woodward County,1005,6611,169,7785,county:40153,https://results.okelections.gov/OKER/?elecDate=20201103,https://oklahoma.gov/elections/elections-results/election-results/2020-election-results/2020-november-general-election.html
