state,election_year,county,local_unit,pres_harris,pres_trump,pres_other,pres_total,comparison_dem,comparison_rep,comparison_other,comparison_total,source_url
TN,2024,Davidson County,22-1,1367,1198,45,2610,1341,1176,51,2568,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Davidson County,22-2,1780,1389,93,3262,1776,1354,59,3189,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Davidson County,22-3,859,590,32,1481,864,591,28,1483,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Davidson County,22-4,1537,1172,40,2749,1491,1152,52,2695,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Davidson County,23-1,808,1120,39,1967,792,1166,29,1987,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Davidson County,23-2,1486,1399,71,2956,1493,1418,53,2964,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Davidson County,23-3,1385,804,45,2234,1371,798,44,2213,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Davidson County,23-4,2175,1566,61,3802,2169,1570,57,3796,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Davidson County,23-5,205,117,5,327,200,120,7,327,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Davidson County,24-1,35,13,0,48,35,11,0,46,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Davidson County,24-2,994,564,18,1576,970,580,18,1568,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Davidson County,24-3,773,367,29,1169,767,359,24,1150,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Davidson County,24-4,1569,628,47,2244,1562,647,30,2239,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Davidson County,24-5,2410,1037,66,3513,2427,1011,65,3503,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Davidson County,24-6,1742,1030,31,2803,1711,1059,32,2802,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Davidson County,25-1,269,196,15,480,260,206,11,477,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Davidson County,25-2,1261,1246,51,2558,1230,1288,33,2551,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Davidson County,25-3,1908,1390,63,3361,1871,1451,61,3383,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Davidson County,25-4,1268,583,40,1891,1259,608,28,1895,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Davidson County,25-5,1314,875,48,2237,1317,873,35,2225,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
