ElectionId,Date,Description,Type,OfficialResults,CountyName,Name,PartyCode,PartyName,TicketCode,OfficeCode,OfficeDescription,District,DistrictName,Division,DivisionName,Votes,TotalVotes,Percentage
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Marion,GARY JOHNSON,L,Libertarian,N,AA,U.S. President,0,,0,,899,23029,3.90%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Marion,HILLARY CLINTON,D,Democrat,N,AA,U.S. President,0,,0,,6964,23029,30.24%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Marion,JILL STEIN,M,Mountain,N,AA,U.S. President,0,,0,,367,23029,1.59%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Marshall,DARRELL L. CASTLE,C,Constitution,N,AA,U.S. President,0,,0,,61,13216,0.46%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Marshall,DONALD J. TRUMP,R,Republican,N,AA,U.S. President,0,,0,,9666,13216,73.14%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Marshall,GARY JOHNSON,L,Libertarian,N,AA,U.S. President,0,,0,,418,13216,3.16%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Marshall,HILLARY CLINTON,D,Democrat,N,AA,U.S. President,0,,0,,2918,13216,22.08%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Marshall,JILL STEIN,M,Mountain,N,AA,U.S. President,0,,0,,153,13216,1.16%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Mason,DARRELL L. CASTLE,C,Constitution,N,AA,U.S. President,0,,0,,89,10186,0.87%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Mason,DONALD J. TRUMP,R,Republican,N,AA,U.S. President,0,,0,,7654,10186,75.14%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Mason,GARY JOHNSON,L,Libertarian,N,AA,U.S. President,0,,0,,276,10186,2.71%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Mason,HILLARY CLINTON,D,Democrat,N,AA,U.S. President,0,,0,,2081,10186,20.43%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Mason,JILL STEIN,M,Mountain,N,AA,U.S. President,0,,0,,86,10186,0.84%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,McDowell,DARRELL L. CASTLE,C,Constitution,N,AA,U.S. President,0,,0,,19,6203,0.31%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,McDowell,DONALD J. TRUMP,R,Republican,N,AA,U.S. President,0,,0,,4629,6203,74.63%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,McDowell,GARY JOHNSON,L,Libertarian,N,AA,U.S. President,0,,0,,90,6203,1.45%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,McDowell,HILLARY CLINTON,D,Democrat,N,AA,U.S. President,0,,0,,1438,6203,23.18%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,McDowell,JILL STEIN,M,Mountain,N,AA,U.S. President,0,,0,,27,6203,0.44%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Mercer,DARRELL L. CASTLE,C,Constitution,N,AA,U.S. President,0,,0,,113,22982,0.49%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Mercer,DONALD J. TRUMP,R,Republican,N,AA,U.S. President,0,,0,,17404,22982,75.73%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Mercer,GARY JOHNSON,L,Libertarian,N,AA,U.S. President,0,,0,,552,22982,2.40%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Mercer,HILLARY CLINTON,D,Democrat,N,AA,U.S. President,0,,0,,4704,22982,20.47%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Mercer,JILL STEIN,M,Mountain,N,AA,U.S. President,0,,0,,209,22982,0.91%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Mineral,DARRELL L. CASTLE,C,Constitution,N,AA,U.S. President,0,,0,,39,11564,0.34%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Mineral,DONALD J. TRUMP,R,Republican,N,AA,U.S. President,0,,0,,9070,11564,78.43%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Mineral,GARY JOHNSON,L,Libertarian,N,AA,U.S. President,0,,0,,282,11564,2.44%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Mineral,HILLARY CLINTON,D,Democrat,N,AA,U.S. President,0,,0,,2050,11564,17.73%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Mineral,JILL STEIN,M,Mountain,N,AA,U.S. President,0,,0,,123,11564,1.06%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Mingo,DARRELL L. CASTLE,C,Constitution,N,AA,U.S. President,0,,0,,52,9510,0.55%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Mingo,DONALD J. TRUMP,R,Republican,N,AA,U.S. President,0,,0,,7911,9510,83.19%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Mingo,GARY JOHNSON,L,Libertarian,N,AA,U.S. President,0,,0,,145,9510,1.52%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Mingo,HILLARY CLINTON,D,Democrat,N,AA,U.S. President,0,,0,,1370,9510,14.41%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Mingo,JILL STEIN,M,Mountain,N,AA,U.S. President,0,,0,,32,9510,0.34%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Monongalia,DARRELL L. CASTLE,C,Constitution,N,AA,U.S. President,0,,0,,275,36048,0.76%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Monongalia,DONALD J. TRUMP,R,Republican,N,AA,U.S. President,0,,0,,18432,36048,51.13%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Monongalia,GARY JOHNSON,L,Libertarian,N,AA,U.S. President,0,,0,,1827,36048,5.07%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Monongalia,HILLARY CLINTON,D,Democrat,N,AA,U.S. President,0,,0,,14699,36048,40.78%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Monongalia,JILL STEIN,M,Mountain,N,AA,U.S. President,0,,0,,815,36048,2.26%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Monroe,DARRELL L. CASTLE,C,Constitution,N,AA,U.S. President,0,,0,,45,5805,0.78%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Monroe,DONALD J. TRUMP,R,Republican,N,AA,U.S. President,0,,0,,4443,5805,76.54%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Monroe,GARY JOHNSON,L,Libertarian,N,AA,U.S. President,0,,0,,149,5805,2.57%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Monroe,HILLARY CLINTON,D,Democrat,N,AA,U.S. President,0,,0,,1111,5805,19.14%
23,11/8/2016 12:00:00 AM,General Election - November 8 2016,County,Yes,Monroe,JILL STEIN,M,Mountain,N,AA,U.S. President,0,,0,,57,5805,0.98%
