state,election_year,jurisdiction_name,jurisdiction_code,level,trump,harris,bowman,de_la_cruz,fruit,kennedy,stein,other,total,source_url
TN,2024,Haywood County,Haywood County,county,3286,3311,22,6,2,22,3,55,6652,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Henderson County,Henderson County,county,10083,1902,12,3,2,37,8,62,12047,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Henry County,Henry County,county,11629,3286,23,8,5,106,19,161,15076,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Hickman County,Hickman County,county,8265,1968,7,3,0,53,13,76,10309,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Houston County,Houston County,county,2989,773,10,1,1,28,8,48,3810,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Humphreys County,Humphreys County,county,6400,1767,22,6,2,54,13,97,8264,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Jackson County,Jackson County,county,4586,1040,13,2,3,27,5,50,5676,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Jefferson County,Jefferson County,county,21068,4503,46,17,6,147,28,244,25815,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Johnson County,Johnson County,county,6829,1212,15,1,2,37,6,61,8102,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Knox County,Knox County,county,130815,87516,461,301,58,1817,896,3533,221864,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Lake County,Lake County,county,1493,429,2,2,2,8,3,17,1939,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Lauderdale County,Lauderdale County,county,5633,2571,9,11,1,37,4,62,8266,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Lawrence County,Lawrence County,county,16429,2939,28,12,6,90,29,165,19533,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Lewis County,Lewis County,county,4852,991,3,1,1,32,10,47,5890,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Lincoln County,Lincoln County,county,13208,2782,18,15,1,89,15,138,16128,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Loudon County,Loudon County,county,25226,7625,59,20,16,219,44,358,33209,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Macon County,Macon County,county,8958,1277,17,8,3,60,10,98,10333,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Madison County,Madison County,county,23385,16115,86,32,18,238,90,464,39964,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Marion County,Marion County,county,10788,3026,36,8,2,60,13,119,13933,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Marshall County,Marshall County,county,12426,3390,17,12,1,89,27,146,15962,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Maury County,Maury County,county,37376,14145,78,31,16,365,79,569,52090,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,McMinn County,McMinn County,county,19673,4207,33,11,2,115,31,192,24072,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,McNairy County,McNairy County,county,9437,1727,19,6,4,67,7,103,11267,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Meigs County,Meigs County,county,5085,968,11,4,1,27,3,46,6099,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Monroe County,Monroe County,county,18526,3608,44,13,6,101,25,189,22323,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Montgomery County,Montgomery County,county,47795,32736,198,137,34,626,229,1224,81755,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Moore County,Moore County,county,3060,542,10,3,0,30,9,52,3654,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Morgan County,Morgan County,county,7427,1054,5,2,0,61,11,79,8560,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Obion County,Obion County,county,10596,2221,11,3,0,64,5,83,12900,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Overton County,Overton County,county,9042,1931,17,7,2,56,14,96,11069,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Perry County,Perry County,county,3139,558,2,0,1,11,5,19,3716,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Pickett County,Pickett County,county,2441,487,1,2,1,19,3,26,2954,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Polk County,Polk County,county,7302,1356,6,4,0,56,3,69,8727,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Putnam County,Putnam County,county,25554,8991,67,25,10,212,80,394,34939,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Rhea County,Rhea County,county,11974,2312,23,4,4,104,23,158,14444,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Roane County,Roane County,county,21011,6073,60,24,7,192,45,328,27412,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Robertson County,Robertson County,county,26260,8428,61,21,16,228,56,382,35070,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Rutherford County,Rutherford County,county,88811,56656,322,200,51,1133,483,2189,147656,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Scott County,Scott County,county,8608,942,5,4,2,39,5,55,9605,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Sequatchie County,Sequatchie County,county,6522,1292,17,7,0,44,8,76,7890,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Sevier County,Sevier County,county,35207,8322,58,28,13,265,77,441,43970,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Shelby County,Shelby County,county,118917,201759,780,555,165,2492,1829,5821,326497,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Smith County,Smith County,county,7655,1595,12,5,1,60,8,86,9336,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Stewart County,Stewart County,county,5389,1160,10,7,2,43,9,71,6620,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Sullivan County,Sullivan County,county,58154,16624,122,63,15,444,119,763,75541,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Sumner County,Sumner County,county,68767,27874,168,89,23,657,183,1120,97761,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Tipton County,Tipton County,county,20303,6178,45,20,7,134,46,252,26733,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Trousdale County,Trousdale County,county,3359,856,10,4,1,18,3,36,4251,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Unicoi County,Unicoi County,county,6876,1578,18,11,1,43,14,87,8541,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Union County,Union County,county,7384,1216,11,8,4,35,11,69,8669,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Van Buren County,Van Buren County,county,2718,524,4,1,0,13,5,23,3265,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Warren County,Warren County,county,13192,3647,29,9,4,102,32,176,17015,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Washington County,Washington County,county,42299,18131,135,71,15,414,169,804,61234,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Wayne County,Wayne County,county,6016,762,8,1,2,36,6,53,6831,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Weakley County,Weakley County,county,10541,2725,20,7,3,76,22,128,13394,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,White County,White County,county,10717,2105,14,7,2,70,16,109,12931,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Williamson County,Williamson County,county,94562,47695,327,104,42,1452,486,2411,144668,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
TN,2024,Wilson County,Wilson County,county,56425,23855,112,69,21,612,160,974,81254,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20241105GeneralbyPrecinct.pdf
