state,election_year,jurisdiction_name,jurisdiction_code,level,harris,trump,other,total_votes,source_url
ND,2024,Mercer,29,county,672,3798,85,4555,https://results.sos.nd.gov/ResultsSW.aspx?text=Race&type=SW&map=CTY
ND,2024,Morton,30,county,3748,12839,449,17036,https://results.sos.nd.gov/ResultsSW.aspx?text=Race&type=SW&map=CTY
ND,2024,Mountrail,31,county,1125,2877,71,4073,https://results.sos.nd.gov/ResultsSW.aspx?text=Race&type=SW&map=CTY
ND,2024,Nelson,32,county,580,1141,40,1761,https://results.sos.nd.gov/ResultsSW.aspx?text=Race&type=SW&map=CTY
ND,2024,Oliver,33,county,156,909,22,1087,https://results.sos.nd.gov/ResultsSW.aspx?text=Race&type=SW&map=CTY
ND,2024,Pembina,34,county,704,2350,58,3112,https://results.sos.nd.gov/ResultsSW.aspx?text=Race&type=SW&map=CTY
ND,2024,Pierce,35,county,439,1493,38,1970,https://results.sos.nd.gov/ResultsSW.aspx?text=Race&type=SW&map=CTY
ND,2024,Ramsey,36,county,1513,3609,117,5239,https://results.sos.nd.gov/ResultsSW.aspx?text=Race&type=SW&map=CTY
ND,2024,Ransom,37,county,920,1661,68,2649,https://results.sos.nd.gov/ResultsSW.aspx?text=Race&type=SW&map=CTY
ND,2024,Renville,38,county,179,993,36,1208,https://results.sos.nd.gov/ResultsSW.aspx?text=Race&type=SW&map=CTY
ND,2024,Richland,39,county,2473,5576,212,8261,https://results.sos.nd.gov/ResultsSW.aspx?text=Race&type=SW&map=CTY
ND,2024,Rolette,40,county,2567,1427,81,4075,https://results.sos.nd.gov/ResultsSW.aspx?text=Race&type=SW&map=CTY
ND,2024,Sargent,41,county,663,1325,55,2043,https://results.sos.nd.gov/ResultsSW.aspx?text=Race&type=SW&map=CTY
ND,2024,Sheridan,42,county,101,644,12,757,https://results.sos.nd.gov/ResultsSW.aspx?text=Race&type=SW&map=CTY
ND,2024,Sioux,43,county,654,285,14,953,https://results.sos.nd.gov/ResultsSW.aspx?text=Race&type=SW&map=CTY
ND,2024,Slope,44,county,33,351,5,389,https://results.sos.nd.gov/ResultsSW.aspx?text=Race&type=SW&map=CTY
ND,2024,Stark,45,county,2473,12323,304,15100,https://results.sos.nd.gov/ResultsSW.aspx?text=Race&type=SW&map=CTY
ND,2024,Steele,46,county,367,622,26,1015,https://results.sos.nd.gov/ResultsSW.aspx?text=Race&type=SW&map=CTY
ND,2024,Stutsman,47,county,2692,7185,257,10134,https://results.sos.nd.gov/ResultsSW.aspx?text=Race&type=SW&map=CTY
ND,2024,Towner,48,county,289,796,29,1114,https://results.sos.nd.gov/ResultsSW.aspx?text=Race&type=SW&map=CTY
ND,2024,Traill,49,county,1359,2650,106,4115,https://results.sos.nd.gov/ResultsSW.aspx?text=Race&type=SW&map=CTY
ND,2024,Walsh,50,county,1173,3186,137,4496,https://results.sos.nd.gov/ResultsSW.aspx?text=Race&type=SW&map=CTY
ND,2024,Ward,51,county,7215,20635,702,28552,https://results.sos.nd.gov/ResultsSW.aspx?text=Race&type=SW&map=CTY
ND,2024,Wells,52,county,405,1815,33,2253,https://results.sos.nd.gov/ResultsSW.aspx?text=Race&type=SW&map=CTY
ND,2024,Williams,53,county,2276,12501,345,15122,https://results.sos.nd.gov/ResultsSW.aspx?text=Race&type=SW&map=CTY
