town_id,town_name,planning_region_geoid,planning_region_name,jurisdiction_tag,harris_and_walz,trump_and_vance,stein_and_ware,oliver_and_ter_maat,kennedy_jr_and_shanahan,ayyadurai_and_ellis,de_la_cruz_and_garcia,fox_and_mcvay,mcneil_and_mcneil,potus_and_kennedy,sonski_and_onak,west_and_abdullah,other_votes,total_votes,ballot_page,write_in_page_1,write_in_page_2,source_id,source_url
70,Killingworth,09130,Lower Connecticut River Valley Planning Region,county:09130,2270,2061,30,20,23,0,1,0,0,0,1,0,75,4406,14,22,30,ct-2024-statement-of-vote-president-town,https://portal.ct.gov/-/media/sots/electionservices/statementofvote_pdfs/2024_statement_of_vote.pdf?hash=27BE5012F5EF0B6BBF37B2A9242B54A2&rev=21871844f0be463886b823b12e6a442e
71,Lebanon,09180,Southeastern Connecticut Planning Region,county:09180,2009,2381,26,21,23,0,0,0,0,0,0,0,70,4460,14,22,30,ct-2024-statement-of-vote-president-town,https://portal.ct.gov/-/media/sots/electionservices/statementofvote_pdfs/2024_statement_of_vote.pdf?hash=27BE5012F5EF0B6BBF37B2A9242B54A2&rev=21871844f0be463886b823b12e6a442e
72,Ledyard,09180,Southeastern Connecticut Planning Region,county:09180,4443,3702,60,56,52,0,1,0,0,0,3,1,173,8318,14,22,30,ct-2024-statement-of-vote-president-town,https://portal.ct.gov/-/media/sots/electionservices/statementofvote_pdfs/2024_statement_of_vote.pdf?hash=27BE5012F5EF0B6BBF37B2A9242B54A2&rev=21871844f0be463886b823b12e6a442e
73,Lisbon,09180,Southeastern Connecticut Planning Region,county:09180,1031,1301,21,15,15,0,0,0,0,0,0,0,51,2383,14,22,30,ct-2024-statement-of-vote-president-town,https://portal.ct.gov/-/media/sots/electionservices/statementofvote_pdfs/2024_statement_of_vote.pdf?hash=27BE5012F5EF0B6BBF37B2A9242B54A2&rev=21871844f0be463886b823b12e6a442e
74,Litchfield,09160,Northwest Hills Planning Region,county:09160,2660,2545,23,28,24,0,0,0,0,0,2,2,79,5284,14,22,30,ct-2024-statement-of-vote-president-town,https://portal.ct.gov/-/media/sots/electionservices/statementofvote_pdfs/2024_statement_of_vote.pdf?hash=27BE5012F5EF0B6BBF37B2A9242B54A2&rev=21871844f0be463886b823b12e6a442e
75,Lyme,09130,Lower Connecticut River Valley Planning Region,county:09130,1080,537,13,13,11,0,0,0,0,0,0,0,37,1654,14,22,30,ct-2024-statement-of-vote-president-town,https://portal.ct.gov/-/media/sots/electionservices/statementofvote_pdfs/2024_statement_of_vote.pdf?hash=27BE5012F5EF0B6BBF37B2A9242B54A2&rev=21871844f0be463886b823b12e6a442e
76,Madison,09170,South Central Connecticut Planning Region,county:09170,7373,4454,58,58,66,0,1,0,0,0,3,0,186,12013,14,22,30,ct-2024-statement-of-vote-president-town,https://portal.ct.gov/-/media/sots/electionservices/statementofvote_pdfs/2024_statement_of_vote.pdf?hash=27BE5012F5EF0B6BBF37B2A9242B54A2&rev=21871844f0be463886b823b12e6a442e
77,Manchester,09110,Capitol Planning Region,county:09110,17318,8791,328,95,121,0,3,0,0,0,3,8,558,26667,14,22,30,ct-2024-statement-of-vote-president-town,https://portal.ct.gov/-/media/sots/electionservices/statementofvote_pdfs/2024_statement_of_vote.pdf?hash=27BE5012F5EF0B6BBF37B2A9242B54A2&rev=21871844f0be463886b823b12e6a442e
78,Mansfield,09110,Capitol Planning Region,county:09110,6746,2295,99,41,50,0,4,0,0,0,0,6,200,9241,14,22,30,ct-2024-statement-of-vote-president-town,https://portal.ct.gov/-/media/sots/electionservices/statementofvote_pdfs/2024_statement_of_vote.pdf?hash=27BE5012F5EF0B6BBF37B2A9242B54A2&rev=21871844f0be463886b823b12e6a442e
79,Marlborough,09110,Capitol Planning Region,county:09110,2115,1819,20,20,23,0,2,0,0,0,1,0,66,4000,14,22,30,ct-2024-statement-of-vote-president-town,https://portal.ct.gov/-/media/sots/electionservices/statementofvote_pdfs/2024_statement_of_vote.pdf?hash=27BE5012F5EF0B6BBF37B2A9242B54A2&rev=21871844f0be463886b823b12e6a442e
80,Meriden,09170,South Central Connecticut Planning Region,county:09170,13326,10131,168,69,107,0,1,0,0,0,2,0,347,23804,14,22,30,ct-2024-statement-of-vote-president-town,https://portal.ct.gov/-/media/sots/electionservices/statementofvote_pdfs/2024_statement_of_vote.pdf?hash=27BE5012F5EF0B6BBF37B2A9242B54A2&rev=21871844f0be463886b823b12e6a442e
81,Middlebury,09140,Naugatuck Valley Planning Region,county:09140,2209,2820,38,20,25,0,0,0,0,0,0,0,83,5112,14,22,30,ct-2024-statement-of-vote-president-town,https://portal.ct.gov/-/media/sots/electionservices/statementofvote_pdfs/2024_statement_of_vote.pdf?hash=27BE5012F5EF0B6BBF37B2A9242B54A2&rev=21871844f0be463886b823b12e6a442e
82,Middlefield,09130,Lower Connecticut River Valley Planning Region,county:09130,1396,1358,15,11,23,0,0,0,0,0,0,0,49,2803,14,22,30,ct-2024-statement-of-vote-president-town,https://portal.ct.gov/-/media/sots/electionservices/statementofvote_pdfs/2024_statement_of_vote.pdf?hash=27BE5012F5EF0B6BBF37B2A9242B54A2&rev=21871844f0be463886b823b12e6a442e
83,Middletown,09130,Lower Connecticut River Valley Planning Region,county:09130,13986,7611,243,86,88,0,0,0,0,0,0,0,417,22014,14,22,30,ct-2024-statement-of-vote-president-town,https://portal.ct.gov/-/media/sots/electionservices/statementofvote_pdfs/2024_statement_of_vote.pdf?hash=27BE5012F5EF0B6BBF37B2A9242B54A2&rev=21871844f0be463886b823b12e6a442e
84,Milford,09170,South Central Connecticut Planning Region,county:09170,14575,14405,1507,107,220,0,3,0,0,0,1,2,1840,30820,14,22,30,ct-2024-statement-of-vote-president-town,https://portal.ct.gov/-/media/sots/electionservices/statementofvote_pdfs/2024_statement_of_vote.pdf?hash=27BE5012F5EF0B6BBF37B2A9242B54A2&rev=21871844f0be463886b823b12e6a442e
85,Monroe,09120,Greater Bridgeport Planning Region,county:09120,5346,5961,61,53,61,0,2,0,0,0,2,4,183,11490,14,22,30,ct-2024-statement-of-vote-president-town,https://portal.ct.gov/-/media/sots/electionservices/statementofvote_pdfs/2024_statement_of_vote.pdf?hash=27BE5012F5EF0B6BBF37B2A9242B54A2&rev=21871844f0be463886b823b12e6a442e
86,Montville,09180,Southeastern Connecticut Planning Region,county:09180,4316,4397,51,46,44,0,0,0,0,0,0,0,141,8854,14,22,30,ct-2024-statement-of-vote-president-town,https://portal.ct.gov/-/media/sots/electionservices/statementofvote_pdfs/2024_statement_of_vote.pdf?hash=27BE5012F5EF0B6BBF37B2A9242B54A2&rev=21871844f0be463886b823b12e6a442e
87,Morris,09160,Northwest Hills Planning Region,county:09160,604,858,11,9,10,0,0,0,0,0,0,0,30,1492,14,22,30,ct-2024-statement-of-vote-president-town,https://portal.ct.gov/-/media/sots/electionservices/statementofvote_pdfs/2024_statement_of_vote.pdf?hash=27BE5012F5EF0B6BBF37B2A9242B54A2&rev=21871844f0be463886b823b12e6a442e
88,Naugatuck,09140,Naugatuck Valley Planning Region,county:09140,6252,7647,78,51,57,0,3,0,0,0,6,2,197,14096,14,22,30,ct-2024-statement-of-vote-president-town,https://portal.ct.gov/-/media/sots/electionservices/statementofvote_pdfs/2024_statement_of_vote.pdf?hash=27BE5012F5EF0B6BBF37B2A9242B54A2&rev=21871844f0be463886b823b12e6a442e
89,New Britain,09110,Capitol Planning Region,county:09110,13483,8282,247,52,101,1,7,0,0,0,0,2,410,22175,15,23,31,ct-2024-statement-of-vote-president-town,https://portal.ct.gov/-/media/sots/electionservices/statementofvote_pdfs/2024_statement_of_vote.pdf?hash=27BE5012F5EF0B6BBF37B2A9242B54A2&rev=21871844f0be463886b823b12e6a442e
90,New Canaan,09190,Western Connecticut Planning Region,county:09190,6644,5023,60,105,76,4,1,0,0,0,0,2,248,11915,15,23,31,ct-2024-statement-of-vote-president-town,https://portal.ct.gov/-/media/sots/electionservices/statementofvote_pdfs/2024_statement_of_vote.pdf?hash=27BE5012F5EF0B6BBF37B2A9242B54A2&rev=21871844f0be463886b823b12e6a442e
91,New Fairfield,09190,Western Connecticut Planning Region,county:09190,3653,4485,37,30,40,0,0,0,0,0,0,0,107,8245,15,23,31,ct-2024-statement-of-vote-president-town,https://portal.ct.gov/-/media/sots/electionservices/statementofvote_pdfs/2024_statement_of_vote.pdf?hash=27BE5012F5EF0B6BBF37B2A9242B54A2&rev=21871844f0be463886b823b12e6a442e
92,New Hartford,09160,Northwest Hills Planning Region,county:09160,2046,2325,21,21,32,0,2,0,0,0,0,0,76,4447,15,23,31,ct-2024-statement-of-vote-president-town,https://portal.ct.gov/-/media/sots/electionservices/statementofvote_pdfs/2024_statement_of_vote.pdf?hash=27BE5012F5EF0B6BBF37B2A9242B54A2&rev=21871844f0be463886b823b12e6a442e
93,New Haven,09170,South Central Connecticut Planning Region,county:09170,30662,6626,578,75,106,0,67,0,0,0,11,20,857,38145,15,23,31,ct-2024-statement-of-vote-president-town,https://portal.ct.gov/-/media/sots/electionservices/statementofvote_pdfs/2024_statement_of_vote.pdf?hash=27BE5012F5EF0B6BBF37B2A9242B54A2&rev=21871844f0be463886b823b12e6a442e
94,Newington,09110,Capitol Planning Region,county:09110,9253,7258,172,57,79,0,0,0,0,0,0,0,308,16819,15,23,31,ct-2024-statement-of-vote-president-town,https://portal.ct.gov/-/media/sots/electionservices/statementofvote_pdfs/2024_statement_of_vote.pdf?hash=27BE5012F5EF0B6BBF37B2A9242B54A2&rev=21871844f0be463886b823b12e6a442e
95,New London,09180,Southeastern Connecticut Planning Region,county:09180,6248,2420,104,24,49,0,0,0,0,0,0,0,177,8845,15,23,31,ct-2024-statement-of-vote-president-town,https://portal.ct.gov/-/media/sots/electionservices/statementofvote_pdfs/2024_statement_of_vote.pdf?hash=27BE5012F5EF0B6BBF37B2A9242B54A2&rev=21871844f0be463886b823b12e6a442e
96,New Milford,09190,Western Connecticut Planning Region,county:09190,7311,7995,83,54,82,0,0,0,0,0,0,0,219,15525,15,23,31,ct-2024-statement-of-vote-president-town,https://portal.ct.gov/-/media/sots/electionservices/statementofvote_pdfs/2024_statement_of_vote.pdf?hash=27BE5012F5EF0B6BBF37B2A9242B54A2&rev=21871844f0be463886b823b12e6a442e
97,Newtown,09190,Western Connecticut Planning Region,county:09190,9316,7624,142,82,101,0,6,0,0,1,6,0,338,17278,15,23,31,ct-2024-statement-of-vote-president-town,https://portal.ct.gov/-/media/sots/electionservices/statementofvote_pdfs/2024_statement_of_vote.pdf?hash=27BE5012F5EF0B6BBF37B2A9242B54A2&rev=21871844f0be463886b823b12e6a442e
98,Norfolk,09160,Northwest Hills Planning Region,county:09160,634,358,11,5,4,0,0,0,0,0,0,0,20,1012,15,23,31,ct-2024-statement-of-vote-president-town,https://portal.ct.gov/-/media/sots/electionservices/statementofvote_pdfs/2024_statement_of_vote.pdf?hash=27BE5012F5EF0B6BBF37B2A9242B54A2&rev=21871844f0be463886b823b12e6a442e
99,North Branford,09170,South Central Connecticut Planning Region,county:09170,3452,4921,34,31,39,0,0,0,0,0,0,0,104,8477,15,23,31,ct-2024-statement-of-vote-president-town,https://portal.ct.gov/-/media/sots/electionservices/statementofvote_pdfs/2024_statement_of_vote.pdf?hash=27BE5012F5EF0B6BBF37B2A9242B54A2&rev=21871844f0be463886b823b12e6a442e
100,North Canaan,09160,Northwest Hills Planning Region,county:09160,667,725,4,0,9,0,0,0,0,0,0,0,13,1405,15,23,31,ct-2024-statement-of-vote-president-town,https://portal.ct.gov/-/media/sots/electionservices/statementofvote_pdfs/2024_statement_of_vote.pdf?hash=27BE5012F5EF0B6BBF37B2A9242B54A2&rev=21871844f0be463886b823b12e6a442e
101,North Haven,09170,South Central Connecticut Planning Region,county:09170,6819,7977,104,28,58,1,3,0,0,0,3,1,198,14994,15,23,31,ct-2024-statement-of-vote-president-town,https://portal.ct.gov/-/media/sots/electionservices/statementofvote_pdfs/2024_statement_of_vote.pdf?hash=27BE5012F5EF0B6BBF37B2A9242B54A2&rev=21871844f0be463886b823b12e6a442e
102,North Stonington,09180,Southeastern Connecticut Planning Region,county:09180,1560,1661,23,20,23,0,0,0,0,0,0,0,66,3287,15,23,31,ct-2024-statement-of-vote-president-town,https://portal.ct.gov/-/media/sots/electionservices/statementofvote_pdfs/2024_statement_of_vote.pdf?hash=27BE5012F5EF0B6BBF37B2A9242B54A2&rev=21871844f0be463886b823b12e6a442e
103,Norwalk,09190,Western Connecticut Planning Region,county:09190,26526,14586,298,124,179,0,1,0,0,0,0,0,602,41714,15,23,31,ct-2024-statement-of-vote-president-town,https://portal.ct.gov/-/media/sots/electionservices/statementofvote_pdfs/2024_statement_of_vote.pdf?hash=27BE5012F5EF0B6BBF37B2A9242B54A2&rev=21871844f0be463886b823b12e6a442e
104,Norwich,09180,Southeastern Connecticut Planning Region,county:09180,8617,6051,107,58,87,0,0,0,0,0,0,0,252,14920,15,23,31,ct-2024-statement-of-vote-president-town,https://portal.ct.gov/-/media/sots/electionservices/statementofvote_pdfs/2024_statement_of_vote.pdf?hash=27BE5012F5EF0B6BBF37B2A9242B54A2&rev=21871844f0be463886b823b12e6a442e
105,Old Lyme,09130,Lower Connecticut River Valley Planning Region,county:09130,3107,2127,42,26,29,0,0,0,0,0,0,0,97,5331,15,23,31,ct-2024-statement-of-vote-president-town,https://portal.ct.gov/-/media/sots/electionservices/statementofvote_pdfs/2024_statement_of_vote.pdf?hash=27BE5012F5EF0B6BBF37B2A9242B54A2&rev=21871844f0be463886b823b12e6a442e
106,Old Saybrook,09130,Lower Connecticut River Valley Planning Region,county:09130,4150,2921,17,30,28,0,0,0,0,0,0,1,76,7147,15,23,31,ct-2024-statement-of-vote-president-town,https://portal.ct.gov/-/media/sots/electionservices/statementofvote_pdfs/2024_statement_of_vote.pdf?hash=27BE5012F5EF0B6BBF37B2A9242B54A2&rev=21871844f0be463886b823b12e6a442e
107,Orange,09170,South Central Connecticut Planning Region,county:09170,4393,4336,98,28,43,0,0,0,0,0,0,1,170,8899,15,23,31,ct-2024-statement-of-vote-president-town,https://portal.ct.gov/-/media/sots/electionservices/statementofvote_pdfs/2024_statement_of_vote.pdf?hash=27BE5012F5EF0B6BBF37B2A9242B54A2&rev=21871844f0be463886b823b12e6a442e
108,Oxford,09140,Naugatuck Valley Planning Region,county:09140,3327,5160,32,29,40,0,0,0,0,0,0,0,101,8588,15,23,31,ct-2024-statement-of-vote-president-town,https://portal.ct.gov/-/media/sots/electionservices/statementofvote_pdfs/2024_statement_of_vote.pdf?hash=27BE5012F5EF0B6BBF37B2A9242B54A2&rev=21871844f0be463886b823b12e6a442e
109,Plainfield,09150,Northeastern Connecticut Planning Region,county:09150,2716,4343,30,33,29,0,1,0,0,0,0,0,93,7152,15,23,31,ct-2024-statement-of-vote-president-town,https://portal.ct.gov/-/media/sots/electionservices/statementofvote_pdfs/2024_statement_of_vote.pdf?hash=27BE5012F5EF0B6BBF37B2A9242B54A2&rev=21871844f0be463886b823b12e6a442e
110,Plainville,09110,Capitol Planning Region,county:09110,4437,4930,53,32,49,0,0,0,0,0,0,0,134,9501,15,23,31,ct-2024-statement-of-vote-president-town,https://portal.ct.gov/-/media/sots/electionservices/statementofvote_pdfs/2024_statement_of_vote.pdf?hash=27BE5012F5EF0B6BBF37B2A9242B54A2&rev=21871844f0be463886b823b12e6a442e
111,Plymouth,09140,Naugatuck Valley Planning Region,county:09140,2354,4001,36,30,40,0,1,0,0,0,0,0,107,6462,16,24,32,ct-2024-statement-of-vote-president-town,https://portal.ct.gov/-/media/sots/electionservices/statementofvote_pdfs/2024_statement_of_vote.pdf?hash=27BE5012F5EF0B6BBF37B2A9242B54A2&rev=21871844f0be463886b823b12e6a442e
112,Pomfret,09150,Northeastern Connecticut Planning Region,county:09150,1327,1120,6,11,16,0,0,0,0,0,0,0,33,2480,16,24,32,ct-2024-statement-of-vote-president-town,https://portal.ct.gov/-/media/sots/electionservices/statementofvote_pdfs/2024_statement_of_vote.pdf?hash=27BE5012F5EF0B6BBF37B2A9242B54A2&rev=21871844f0be463886b823b12e6a442e
113,Portland,09130,Lower Connecticut River Valley Planning Region,county:09130,3127,2753,45,25,34,0,0,0,0,0,0,0,104,5984,16,24,32,ct-2024-statement-of-vote-president-town,https://portal.ct.gov/-/media/sots/electionservices/statementofvote_pdfs/2024_statement_of_vote.pdf?hash=27BE5012F5EF0B6BBF37B2A9242B54A2&rev=21871844f0be463886b823b12e6a442e
114,Preston,09180,Southeastern Connecticut Planning Region,county:09180,1194,1569,21,7,24,0,1,0,0,0,2,0,55,2818,16,24,32,ct-2024-statement-of-vote-president-town,https://portal.ct.gov/-/media/sots/electionservices/statementofvote_pdfs/2024_statement_of_vote.pdf?hash=27BE5012F5EF0B6BBF37B2A9242B54A2&rev=21871844f0be463886b823b12e6a442e
115,Prospect,09140,Naugatuck Valley Planning Region,county:09140,2069,3915,24,17,21,0,0,0,0,0,1,1,64,6048,16,24,32,ct-2024-statement-of-vote-president-town,https://portal.ct.gov/-/media/sots/electionservices/statementofvote_pdfs/2024_statement_of_vote.pdf?hash=27BE5012F5EF0B6BBF37B2A9242B54A2&rev=21871844f0be463886b823b12e6a442e
116,Putnam,09150,Northeastern Connecticut Planning Region,county:09150,1975,2359,20,18,28,0,0,0,0,0,0,0,66,4400,16,24,32,ct-2024-statement-of-vote-president-town,https://portal.ct.gov/-/media/sots/electionservices/statementofvote_pdfs/2024_statement_of_vote.pdf?hash=27BE5012F5EF0B6BBF37B2A9242B54A2&rev=21871844f0be463886b823b12e6a442e
117,Redding,09190,Western Connecticut Planning Region,county:09190,3619,1948,46,41,30,0,0,0,0,0,0,1,118,5685,16,24,32,ct-2024-statement-of-vote-president-town,https://portal.ct.gov/-/media/sots/electionservices/statementofvote_pdfs/2024_statement_of_vote.pdf?hash=27BE5012F5EF0B6BBF37B2A9242B54A2&rev=21871844f0be463886b823b12e6a442e
118,Ridgefield,09190,Western Connecticut Planning Region,county:09190,9704,5520,99,68,83,0,1,0,0,0,1,0,252,15476,16,24,32,ct-2024-statement-of-vote-president-town,https://portal.ct.gov/-/media/sots/electionservices/statementofvote_pdfs/2024_statement_of_vote.pdf?hash=27BE5012F5EF0B6BBF37B2A9242B54A2&rev=21871844f0be463886b823b12e6a442e
119,Rocky Hill,09110,Capitol Planning Region,county:09110,5471,4767,102,33,36,0,0,0,0,0,0,0,171,10409,16,24,32,ct-2024-statement-of-vote-president-town,https://portal.ct.gov/-/media/sots/electionservices/statementofvote_pdfs/2024_statement_of_vote.pdf?hash=27BE5012F5EF0B6BBF37B2A9242B54A2&rev=21871844f0be463886b823b12e6a442e
120,Roxbury,09160,Northwest Hills Planning Region,county:09160,857,643,5,10,9,0,0,0,0,0,0,0,24,1524,16,24,32,ct-2024-statement-of-vote-president-town,https://portal.ct.gov/-/media/sots/electionservices/statementofvote_pdfs/2024_statement_of_vote.pdf?hash=27BE5012F5EF0B6BBF37B2A9242B54A2&rev=21871844f0be463886b823b12e6a442e
121,Salem,09180,Southeastern Connecticut Planning Region,county:09180,1263,1345,22,17,13,0,0,0,0,0,0,0,52,2660,16,24,32,ct-2024-statement-of-vote-president-town,https://portal.ct.gov/-/media/sots/electionservices/statementofvote_pdfs/2024_statement_of_vote.pdf?hash=27BE5012F5EF0B6BBF37B2A9242B54A2&rev=21871844f0be463886b823b12e6a442e
122,Salisbury,09160,Northwest Hills Planning Region,county:09160,1959,528,25,5,20,0,0,0,0,0,0,0,50,2537,16,24,32,ct-2024-statement-of-vote-president-town,https://portal.ct.gov/-/media/sots/electionservices/statementofvote_pdfs/2024_statement_of_vote.pdf?hash=27BE5012F5EF0B6BBF37B2A9242B54A2&rev=21871844f0be463886b823b12e6a442e
123,Scotland,09150,Northeastern Connecticut Planning Region,county:09150,382,558,6,5,4,0,0,0,0,0,0,0,15,955,16,24,32,ct-2024-statement-of-vote-president-town,https://portal.ct.gov/-/media/sots/electionservices/statementofvote_pdfs/2024_statement_of_vote.pdf?hash=27BE5012F5EF0B6BBF37B2A9242B54A2&rev=21871844f0be463886b823b12e6a442e
124,Seymour,09140,Naugatuck Valley Planning Region,county:09140,3680,5296,69,24,51,1,0,0,0,0,0,0,145,9121,16,24,32,ct-2024-statement-of-vote-president-town,https://portal.ct.gov/-/media/sots/electionservices/statementofvote_pdfs/2024_statement_of_vote.pdf?hash=27BE5012F5EF0B6BBF37B2A9242B54A2&rev=21871844f0be463886b823b12e6a442e
125,Sharon,09160,Northwest Hills Planning Region,county:09160,1068,488,8,7,5,0,0,0,0,0,0,0,20,1576,16,24,32,ct-2024-statement-of-vote-president-town,https://portal.ct.gov/-/media/sots/electionservices/statementofvote_pdfs/2024_statement_of_vote.pdf?hash=27BE5012F5EF0B6BBF37B2A9242B54A2&rev=21871844f0be463886b823b12e6a442e
126,Shelton,09140,Naugatuck Valley Planning Region,county:09140,10282,12985,155,70,96,0,0,0,0,0,2,1,324,23591,16,24,32,ct-2024-statement-of-vote-president-town,https://portal.ct.gov/-/media/sots/electionservices/statementofvote_pdfs/2024_statement_of_vote.pdf?hash=27BE5012F5EF0B6BBF37B2A9242B54A2&rev=21871844f0be463886b823b12e6a442e
127,Sherman,09190,Western Connecticut Planning Region,county:09190,1212,1008,12,10,12,0,0,0,0,0,1,0,35,2255,16,24,32,ct-2024-statement-of-vote-president-town,https://portal.ct.gov/-/media/sots/electionservices/statementofvote_pdfs/2024_statement_of_vote.pdf?hash=27BE5012F5EF0B6BBF37B2A9242B54A2&rev=21871844f0be463886b823b12e6a442e
