Contest ID,Contest Title,Contest Seq Nbr,Contest Type,Contest Party,Absentee Mail Blank Votes,Absentee Walk-in Blank Votes,Election Blank Votes,Absentee Mail Over Votes,Absentee Walk-in Over Votes,Election Over Votes,Registered Voters,Total Precincts,Counted Precincts,Candidate ID,Candidate Name,Candidate Seq Nbr,Candidate Party,Absentee Mail Votes,Absentee Walk-in Votes,Election Votes,Total Votes
58,"Prosecuting Attorney, County of Kauai",58,"OF",,1355,491,1739,2,1,5,749917,16,16,137,"ARIN, Lisa R.",1,"",4043,1996,5247,11286
59,"Councilmember",59,"OF",,22205,10219,27212,15,0,6,749917,16,16,148,"KAWAKAMI, Derek S.K.",10,"",6728,2783,6479,15990
59,"Councilmember",59,"OF",,22205,10219,27212,15,0,6,749917,16,16,147,"KANESHIRO, Arryl",9,"",5338,2221,5220,12779
59,"Councilmember",59,"OF",,22205,10219,27212,15,0,6,749917,16,16,150,"RAPOZO, Mel",12,"",5326,2111,5194,12631
59,"Councilmember",59,"OF",,22205,10219,27212,15,0,6,749917,16,16,146,"KAGAWA, Ross K.",8,"",5327,2060,4796,12183
59,"Councilmember",59,"OF",,22205,10219,27212,15,0,6,749917,16,16,151,"YUKIMURA, JoAnn A.",13,"",3806,1935,5331,11072
59,"Councilmember",59,"OF",,22205,10219,27212,15,0,6,749917,16,16,141,"BRUN, Arthur",3,"",4430,1937,4636,11003
59,"Councilmember",59,"OF",,22205,10219,27212,15,0,6,749917,16,16,142,"CHOCK, Mason K., Sr.",4,"",3996,1922,5029,10947
59,"Councilmember",59,"OF",,22205,10219,27212,15,0,6,749917,16,16,149,"KUALII, KipuKai",11,"",4291,1765,4394,10450
59,"Councilmember",59,"OF",,22205,10219,27212,15,0,6,749917,16,16,145,"HOOSER, Gary L.",7,"",3372,1775,5261,10408
59,"Councilmember",59,"OF",,22205,10219,27212,15,0,6,749917,16,16,139,"APALLA, Juno-Ann A.",1,"",2631,1558,3700,7889
59,"Councilmember",59,"OF",,22205,10219,27212,15,0,6,749917,16,16,143,"DOCTOR SPARKS, Norma",5,"",2619,1329,2963,6911
59,"Councilmember",59,"OF",,22205,10219,27212,15,0,6,749917,16,16,140,"BERNABE, Matt",2,"",1456,784,2111,4351
59,"Councilmember",59,"OF",,22205,10219,27212,15,0,6,749917,16,16,144,"FUKUSHIMA, Richard S.",6,"",1730,788,1660,4178
60,"Mayor, City and County of Honolulu",60,"OF",,3611,726,3334,67,5,52,749917,153,153,152,"CALDWELL, Kirk",1,"",66815,13237,67889,147941
60,"Mayor, City and County of Honolulu",60,"OF",,3611,726,3334,67,5,52,749917,153,153,153,"DJOU, Charles K.",2,"",58626,10001,67083,135710
61,"Prosecuting Attorney, City and County of Honolulu",61,"OF",,16692,3207,17954,44,6,55,749917,153,153,154,"KANESHIRO, Keith M.",1,"",89456,15664,95854,200974
61,"Prosecuting Attorney, City and County of Honolulu",61,"OF",,16692,3207,17954,44,6,55,749917,153,153,155,"YAQOOB, Anosh H.",2,"",22927,5092,24495,52514
62,"Councilmember, Dist V",62,"OF",,1952,409,2056,8,2,9,749917,19,19,157,"KOBAYASHI, Ann H.",2,"",11092,1745,8893,21730
62,"Councilmember, Dist V",62,"OF",,1952,409,2056,8,2,9,749917,19,19,156,"CASE, Kimberly S.",1,"",3914,901,3788,8603
63,"Councilmember, Dist VII",63,"OF",,1072,196,1119,2,1,1,749917,14,14,158,"MANAHAN, Joey",1,"",5662,732,5938,12332
63,"Councilmember, Dist VII",63,"OF",,1072,196,1119,2,1,1,749917,14,14,159,"SHIGEMASA, Chace K.M.",2,"",1902,316,2087,4305
64,"Councilmember, Dist IX",64,"OF",,1286,246,1526,4,0,5,749917,19,19,160,"MENOR, Ron",1,"",9321,1879,11583,22783
64,"Councilmember, Dist IX",64,"OF",,1286,246,1526,4,0,5,749917,19,19,161,"SVRCINA, Emil",2,"",1898,425,2491,4814
65,"CON AMEND: Jury Trials in Civil Cases",65,"MS",,25003,4680,20934,97,23,143,749917,247,247,163,"YES",1,"",92050,21285,87863,201198
