Office,Parish,Ward,Precinct,"Quentin Anthony Anderson (DEM)","Cleo Fields (DEM)","Elbert Guillory (REP)","Wilken Jones, Jr. (DEM)","Peter Williams (DEM)"
"U. S. Representative -- 6th Congressional District","Avoyelles","03","01","23","171","131","5","19"
"U. S. Representative -- 6th Congressional District","Avoyelles","03","03","12","57","48","2","6"
"U. S. Representative -- 6th Congressional District","Avoyelles","04","02A","8","31","137","1","7"
"U. S. Representative -- 6th Congressional District","Avoyelles","07","01","29","145","172","3","81"
"U. S. Representative -- 6th Congressional District","Avoyelles","07","02","11","27","173","1","8"
"U. S. Representative -- 6th Congressional District","Avoyelles","08","01","1","10","70","0","3"
"U. S. Representative -- 6th Congressional District","Avoyelles","08","02","4","31","91","2","2"
"U. S. Representative -- 6th Congressional District","Avoyelles","08","03","3","25","277","2","7"
"U. S. Representative -- 6th Congressional District","Avoyelles","08","03A","8","43","382","1","13"
"U. S. Representative -- 6th Congressional District","Avoyelles","09","01","7","65","70","2","6"
"U. S. Representative -- 6th Congressional District","Avoyelles","09","02","1","32","41","1","1"
"U. S. Representative -- 6th Congressional District","Avoyelles","09","02A","1","60","84","1","2"
"U. S. Representative -- 6th Congressional District","Avoyelles","09","03","24","121","321","3","8"
"U. S. Representative -- 6th Congressional District","Avoyelles","09","05","39","200","29","4","9"
"U. S. Representative -- 6th Congressional District","Avoyelles","10","02","31","210","92","7","8"
"U. S. Representative -- 6th Congressional District","Avoyelles","10","02A","9","51","203","1","4"
"U. S. Representative -- 6th Congressional District","Avoyelles","10","03A","0","25","88","0","1"
"U. S. Representative -- 6th Congressional District","Avoyelles","10","03B","3","22","40","2","1"
"U. S. Representative -- 6th Congressional District","Avoyelles","10","04","27","232","24","4","5"
"U. S. Representative -- 6th Congressional District","Avoyelles","11","01","14","132","126","3","11"
"U. S. Representative -- 6th Congressional District","Avoyelles","11","02","1","15","104","2","3"
"U. S. Representative -- 6th Congressional District","Avoyelles","Early Voting","","104","733","1145","20","80"
"U. S. Representative -- 6th Congressional District","Avoyelles","Provisional Votes","","0","0","0","0","0"
"U. S. Representative -- 6th Congressional District","Caddo","00","02-03","57","244","163","15","2"
"U. S. Representative -- 6th Congressional District","Caddo","00","02-05","71","322","43","10","11"
"U. S. Representative -- 6th Congressional District","Caddo","00","02-06","30","244","6","6","6"
"U. S. Representative -- 6th Congressional District","Caddo","00","02-08","61","425","8","19","6"
"U. S. Representative -- 6th Congressional District","Caddo","00","02-09","16","170","5","5","1"
"U. S. Representative -- 6th Congressional District","Caddo","00","02-10","31","292","31","10","9"
"U. S. Representative -- 6th Congressional District","Caddo","00","02-11","37","283","14","4","6"
"U. S. Representative -- 6th Congressional District","Caddo","00","02-12","13","138","3","3","3"
"U. S. Representative -- 6th Congressional District","Caddo","00","03-02","87","473","27","13","13"
"U. S. Representative -- 6th Congressional District","Caddo","00","03-03","7","44","2","3","2"
"U. S. Representative -- 6th Congressional District","Caddo","00","03-04","13","124","6","3","5"
"U. S. Representative -- 6th Congressional District","Caddo","00","03-05","17","182","5","6","1"
"U. S. Representative -- 6th Congressional District","Caddo","00","03-06","18","122","12","4","1"
"U. S. Representative -- 6th Congressional District","Caddo","00","03-07","71","311","58","7","11"
"U. S. Representative -- 6th Congressional District","Caddo","00","03-09","113","316","175","17","16"
"U. S. Representative -- 6th Congressional District","Caddo","00","05-01","32","184","23","10","3"
"U. S. Representative -- 6th Congressional District","Caddo","00","05-02","45","360","6","4","11"
"U. S. Representative -- 6th Congressional District","Caddo","00","05-03","22","162","7","5","1"
"U. S. Representative -- 6th Congressional District","Caddo","00","05-04","32","161","16","6","3"
"U. S. Representative -- 6th Congressional District","Caddo","00","05-05","56","364","27","9","17"
"U. S. Representative -- 6th Congressional District","Caddo","00","05-06","38","207","12","5","10"
"U. S. Representative -- 6th Congressional District","Caddo","00","05-07","23","196","6","8","5"
"U. S. Representative -- 6th Congressional District","Caddo","00","05-08","56","282","14","10","5"
"U. S. Representative -- 6th Congressional District","Caddo","00","05-09","39","236","13","6","5"
"U. S. Representative -- 6th Congressional District","Caddo","00","05-11","54","287","13","9","14"
"U. S. Representative -- 6th Congressional District","Caddo","00","06-02","32","228","2","7","16"
"U. S. Representative -- 6th Congressional District","Caddo","00","06-03","30","186","15","6","5"
"U. S. Representative -- 6th Congressional District","Caddo","00","06-04","47","271","11","12","13"
"U. S. Representative -- 6th Congressional District","Caddo","00","06-05","30","173","12","8","3"
"U. S. Representative -- 6th Congressional District","Caddo","00","06-06","64","218","84","14","5"
"U. S. Representative -- 6th Congressional District","Caddo","00","06-07","70","307","35","16","3"
"U. S. Representative -- 6th Congressional District","Caddo","00","06-08","115","362","101","19","20"
"U. S. Representative -- 6th Congressional District","Caddo","00","06-09","102","314","135","10","13"
"U. S. Representative -- 6th Congressional District","Caddo","00","06-10","43","115","43","5","5"
"U. S. Representative -- 6th Congressional District","Caddo","00","07-02","41","182","157","5","10"
"U. S. Representative -- 6th Congressional District","Caddo","00","07-03","54","265","43","11","8"
"U. S. Representative -- 6th Congressional District","Caddo","00","07-04","26","250","5","13","4"
"U. S. Representative -- 6th Congressional District","Caddo","00","07-05","40","186","2","8","6"
"U. S. Representative -- 6th Congressional District","Caddo","00","07-06","58","336","11","9","14"
"U. S. Representative -- 6th Congressional District","Caddo","00","07-07","50","190","6","5","6"
"U. S. Representative -- 6th Congressional District","Caddo","00","07-08","88","416","42","17","16"
"U. S. Representative -- 6th Congressional District","Caddo","00","07-09","80","376","30","20","11"
"U. S. Representative -- 6th Congressional District","Caddo","00","07-10","70","303","85","12","8"
"U. S. Representative -- 6th Congressional District","Caddo","00","10-01","41","237","2","6","7"
"U. S. Representative -- 6th Congressional District","Caddo","00","10-03","46","243","17","8","8"
"U. S. Representative -- 6th Congressional District","Caddo","00","10-04","58","308","12","11","10"
"U. S. Representative -- 6th Congressional District","Caddo","00","10-05","59","281","87","22","9"
"U. S. Representative -- 6th Congressional District","Caddo","00","10-06","77","181","116","11","11"
"U. S. Representative -- 6th Congressional District","Caddo","00","10-07","101","260","182","20","14"
"U. S. Representative -- 6th Congressional District","Caddo","00","10-08","52","168","138","4","10"
"U. S. Representative -- 6th Congressional District","Caddo","00","10-09","51","161","130","5","2"
"U. S. Representative -- 6th Congressional District","Caddo","00","11-04","41","166","133","6","5"
"U. S. Representative -- 6th Congressional District","Caddo","00","11-05","47","142","141","13","8"
"U. S. Representative -- 6th Congressional District","Caddo","00","11-08","37","134","255","5","13"
"U. S. Representative -- 6th Congressional District","Caddo","00","12-02","56","337","151","10","15"
"U. S. Representative -- 6th Congressional District","Caddo","00","12-04","55","371","58","10","7"
"U. S. Representative -- 6th Congressional District","Caddo","00","12-05","77","258","51","14","8"
"U. S. Representative -- 6th Congressional District","Caddo","00","12-06","32","145","31","4","4"
"U. S. Representative -- 6th Congressional District","Caddo","00","12-10","56","226","30","11","16"
"U. S. Representative -- 6th Congressional District","Caddo","00","12-11","50","177","30","4","4"
"U. S. Representative -- 6th Congressional District","Caddo","Early Voting","","1487","10363","3472","205","343"
"U. S. Representative -- 6th Congressional District","Caddo","Provisional Votes","","0","0","0","0","0"
"U. S. Representative -- 6th Congressional District","De Soto","00","01","10","49","6","5","2"
"U. S. Representative -- 6th Congressional District","De Soto","00","04","7","58","3","1","1"
"U. S. Representative -- 6th Congressional District","De Soto","00","05","25","93","27","12","7"
"U. S. Representative -- 6th Congressional District","De Soto","00","05A","2","9","2","0","0"
"U. S. Representative -- 6th Congressional District","De Soto","00","06","11","45","2","6","0"
"U. S. Representative -- 6th Congressional District","De Soto","00","06A","1","17","1","0","1"
"U. S. Representative -- 6th Congressional District","De Soto","00","06B","7","14","1","2","2"
"U. S. Representative -- 6th Congressional District","De Soto","00","09","6","45","15","4","1"
"U. S. Representative -- 6th Congressional District","De Soto","00","21","14","29","141","2","2"
"U. S. Representative -- 6th Congressional District","De Soto","00","22","5","17","111","4","3"
"U. S. Representative -- 6th Congressional District","De Soto","00","22A","3","12","76","0","0"
"U. S. Representative -- 6th Congressional District","De Soto","00","26","8","48","53","3","3"
"U. S. Representative -- 6th Congressional District","De Soto","00","26A","2","11","13","0","0"
"U. S. Representative -- 6th Congressional District","De Soto","00","30","7","35","216","4","5"
"U. S. Representative -- 6th Congressional District","De Soto","00","31","8","50","48","3","3"
"U. S. Representative -- 6th Congressional District","De Soto","00","32","6","56","61","1","0"
"U. S. Representative -- 6th Congressional District","De Soto","00","33","17","79","193","1","15"
"U. S. Representative -- 6th Congressional District","De Soto","00","33A","6","28","34","3","3"
"U. S. Representative -- 6th Congressional District","De Soto","00","38","4","23","15","4","2"
"U. S. Representative -- 6th Congressional District","De Soto","00","38A","8","20","14","1","0"
"U. S. Representative -- 6th Congressional District","De Soto","00","42","1","14","8","0","0"
"U. S. Representative -- 6th Congressional District","De Soto","00","44","25","68","26","4","1"
"U. S. Representative -- 6th Congressional District","De Soto","00","46B","3","14","29","1","2"
"U. S. Representative -- 6th Congressional District","De Soto","00","53","1","11","70","0","0"
"U. S. Representative -- 6th Congressional District","De Soto","00","55","5","38","47","2","1"
"U. S. Representative -- 6th Congressional District","De Soto","00","56","8","38","70","2","6"
"U. S. Representative -- 6th Congressional District","De Soto","00","59","23","65","12","8","7"
"U. S. Representative -- 6th Congressional District","De Soto","00","60","7","47","14","5","1"
"U. S. Representative -- 6th Congressional District","De Soto","00","60A","0","1","0","0","0"
"U. S. Representative -- 6th Congressional District","De Soto","00","63","18","112","23","9","6"
"U. S. Representative -- 6th Congressional District","De Soto","00","63A","7","27","3","5","3"
"U. S. Representative -- 6th Congressional District","De Soto","Early Voting","","192","1525","1723","63","71"
"U. S. Representative -- 6th Congressional District","De Soto","Provisional Votes","","0","0","0","0","0"
"U. S. Representative -- 6th Congressional District","East Baton Rouge","01","001","72","159","74","6","9"
"U. S. Representative -- 6th Congressional District","East Baton Rouge","01","002 A","16","140","2","3","4"
"U. S. Representative -- 6th Congressional District","East Baton Rouge","01","002 B","15","127","6","3","6"
"U. S. Representative -- 6th Congressional District","East Baton Rouge","01","003","25","119","16","1","2"
"U. S. Representative -- 6th Congressional District","East Baton Rouge","01","004","14","138","3","2","3"
"U. S. Representative -- 6th Congressional District","East Baton Rouge","01","005 A","38","162","23","6","2"
"U. S. Representative -- 6th Congressional District","East Baton Rouge","01","005 B","40","222","19","4","6"
"U. S. Representative -- 6th Congressional District","East Baton Rouge","01","006","16","177","8","1","3"
"U. S. Representative -- 6th Congressional District","East Baton Rouge","01","007","71","162","90","4","14"
"U. S. Representative -- 6th Congressional District","East Baton Rouge","01","008","51","135","121","3","4"
"U. S. Representative -- 6th Congressional District","East Baton Rouge","01","009","45","197","123","15","4"
"U. S. Representative -- 6th Congressional District","East Baton Rouge","01","010 A","12","165","4","4","4"
"U. S. Representative -- 6th Congressional District","East Baton Rouge","01","010 B","10","142","0","3","3"
"U. S. Representative -- 6th Congressional District","East Baton Rouge","01","011","29","259","11","1","8"
"U. S. Representative -- 6th Congressional District","East Baton Rouge","01","013","25","116","4","2","9"
"U. S. Representative -- 6th Congressional District","East Baton Rouge","01","014 A","16","242","4","2","5"
"U. S. Representative -- 6th Congressional District","East Baton Rouge","01","014 B","15","216","5","3","0"
"U. S. Representative -- 6th Congressional District","East Baton Rouge","01","015 A","16","222","1","2","0"
"U. S. Representative -- 6th Congressional District","East Baton Rouge","01","015 B","9","235","5","1","7"
"U. S. Representative -- 6th Congressional District","East Baton Rouge","01","016","23","233","6","6","3"
"U. S. Representative -- 6th Congressional District","East Baton Rouge","01","017","10","109","14","1","1"
"U. S. Representative -- 6th Congressional District","East Baton Rouge","01","018","12","137","4","3","2"
"U. S. Representative -- 6th Congressional District","East Baton Rouge","01","019","10","151","7","1","4"
"U. S. Representative -- 6th Congressional District","East Baton Rouge","01","020 A","30","219","15","6","3"
"U. S. Representative -- 6th Congressional District","East Baton Rouge","01","020 B","22","209","29","7","7"
"U. S. Representative -- 6th Congressional District","East Baton Rouge","01","021","7","160","6","1","0"
"U. S. Representative -- 6th Congressional District","East Baton Rouge","01","022","17","177","7","4","4"
"U. S. Representative -- 6th Congressional District","East Baton Rouge","01","023","17","294","6","4","2"
"U. S. Representative -- 6th Congressional District","East Baton Rouge","01","024","19","284","22","6","8"
"U. S. Representative -- 6th Congressional District","East Baton Rouge","01","025","37","333","9","4","8"
"U. S. Representative -- 6th Congressional District","East Baton Rouge","01","026","18","194","6","2","5"
"U. S. Representative -- 6th Congressional District","East Baton Rouge","01","027","25","324","5","3","6"
"U. S. Representative -- 6th Congressional District","East Baton Rouge","01","028","38","266","13","8","9"
"U. S. Representative -- 6th Congressional District","East Baton Rouge","01","029","22","271","11","14","6"
