Office,Parish,Ward,Precinct,"Troy A. Carter, Sr. (DEM)","Devin Davis (DEM)","Devin Lance Graham (REP)","Christy Lynch (REP)","Shondrell Perrilloux (REP)"
"U. S. Representative -- 2nd Congressional District","Iberville","Provisional Votes","","0","0","0","0","0"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","057","104","31","48","66","8"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","104","255","21","3","1","4"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","108","146","16","3","1","4"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","115","159","17","9","3","5"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","116","84","21","27","43","4"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","131","93","16","7","8","5"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","133","180","28","13","11","3"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","138","55","10","11","6","1"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","150A","133","32","41","45","7"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","150B","293","49","76","72","8"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","151","392","48","97","117","24"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","152","126","15","40","46","7"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","153","299","41","6","2","1"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","154","254","32","6","2","6"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","155","98","13","45","53","5"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","156","303","40","38","13","7"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","157A","263","58","98","120","17"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","170","157","23","94","105","12"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","171","21","4","4","3","2"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","172","118","12","47","50","11"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","173","106","12","4","10","3"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","174","42","3","18","8","1"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","175","97","16","46","61","7"
