Office,Parish,Ward,Precinct,"Priscilla Gonzalez (DEM)","Clay Higgins (REP)","""Xan"" John (REP)","Sadi Summerlin (DEM)"
"U. S. Representative -- 3rd Congressional District","St. Martin","00","07","16","19","1","5"
"U. S. Representative -- 3rd Congressional District","St. Martin","00","08","16","179","3","10"
"U. S. Representative -- 3rd Congressional District","St. Martin","00","09","77","232","22","32"
"U. S. Representative -- 3rd Congressional District","St. Martin","00","10","207","50","5","65"
"U. S. Representative -- 3rd Congressional District","St. Martin","00","11","67","32","5","19"
"U. S. Representative -- 3rd Congressional District","St. Martin","00","12","167","213","17","43"
"U. S. Representative -- 3rd Congressional District","St. Martin","00","13","8","22","0","7"
"U. S. Representative -- 3rd Congressional District","St. Martin","00","14","17","93","5","2"
"U. S. Representative -- 3rd Congressional District","St. Martin","00","15","106","82","5","48"
"U. S. Representative -- 3rd Congressional District","St. Martin","00","16","10","22","0","0"
"U. S. Representative -- 3rd Congressional District","St. Martin","00","17","21","339","29","4"
"U. S. Representative -- 3rd Congressional District","St. Martin","00","18","74","190","13","20"
"U. S. Representative -- 3rd Congressional District","St. Martin","00","19","25","53","6","6"
"U. S. Representative -- 3rd Congressional District","St. Martin","00","20","42","236","5","6"
"U. S. Representative -- 3rd Congressional District","St. Martin","00","21","41","256","13","9"
"U. S. Representative -- 3rd Congressional District","St. Martin","00","22","22","200","12","11"
"U. S. Representative -- 3rd Congressional District","St. Martin","00","23","90","77","8","33"
"U. S. Representative -- 3rd Congressional District","St. Martin","00","24","250","182","22","93"
"U. S. Representative -- 3rd Congressional District","St. Martin","00","25","12","62","2","2"
"U. S. Representative -- 3rd Congressional District","St. Martin","00","26","32","91","5","20"
"U. S. Representative -- 3rd Congressional District","St. Martin","00","27","32","30","3","7"
"U. S. Representative -- 3rd Congressional District","St. Martin","00","28","163","425","30","39"
"U. S. Representative -- 3rd Congressional District","St. Martin","00","29","119","395","19","42"
"U. S. Representative -- 3rd Congressional District","St. Martin","00","30","25","119","7","9"
"U. S. Representative -- 3rd Congressional District","St. Martin","00","31","10","185","10","4"
"U. S. Representative -- 3rd Congressional District","St. Martin","00","32","0","34","3","0"
"U. S. Representative -- 3rd Congressional District","St. Martin","00","33","154","186","17","27"
"U. S. Representative -- 3rd Congressional District","St. Martin","00","34","69","225","12","24"
"U. S. Representative -- 3rd Congressional District","St. Martin","00","35","65","394","14","36"
"U. S. Representative -- 3rd Congressional District","St. Martin","00","36","18","50","1","7"
"U. S. Representative -- 3rd Congressional District","St. Martin","00","37","56","224","13","9"
"U. S. Representative -- 3rd Congressional District","St. Martin","00","38","36","320","10","13"
"U. S. Representative -- 3rd Congressional District","St. Martin","00","39","46","311","10","10"
"U. S. Representative -- 3rd Congressional District","St. Martin","00","40","115","207","10","27"
"U. S. Representative -- 3rd Congressional District","St. Martin","00","41","31","296","12","11"
"U. S. Representative -- 3rd Congressional District","St. Martin","00","42","113","379","8","45"
"U. S. Representative -- 3rd Congressional District","St. Martin","00","43","23","178","5","10"
"U. S. Representative -- 3rd Congressional District","St. Martin","Early Voting","","2249","9297","328","677"
"U. S. Representative -- 3rd Congressional District","St. Martin","Provisional Votes","","0","0","0","0"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","01","1","41","0","1"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","02","60","48","3","10"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","03","73","31","3","10"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","04","18","94","2","11"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","05","81","84","4","17"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","06","79","237","7","10"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","06A","19","180","3","3"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","07","177","118","7","41"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","08","115","13","4","25"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","09","33","136","3","9"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","10","110","124","8","24"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","11","45","92","4","20"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","12","65","50","4","21"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","13","60","76","7","15"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","14","68","152","6","17"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","15","77","82","5","13"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","16","98","22","3","23"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","17","77","116","1","23"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","18","116","15","4","20"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","19","34","289","3","13"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","20","79","53","2","39"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","21","37","187","9","8"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","22","50","342","15","9"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","23","48","148","7","9"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","24","76","206","7","16"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","25","163","112","3","37"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","26","113","184","7","22"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","27","62","138","12","14"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","28","30","219","7","9"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","29","26","316","13","12"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","30","22","222","9","10"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","31","16","295","3","8"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","32","32","247","8","12"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","33","28","250","9","9"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","34","24","180","7","11"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","35","63","164","13","15"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","36","23","186","8","5"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","37","47","200","10","15"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","38","51","158","7","13"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","39","66","164","6","13"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","40","32","153","4","15"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","41","17","202","12","11"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","42","63","23","2","13"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","43","33","125","7","5"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","44","30","13","1","7"
"U. S. Representative -- 3rd Congressional District","St. Mary","00","45","48","167","5","11"
"U. S. Representative -- 3rd Congressional District","St. Mary","Early Voting","","1949","6488","170","640"
"U. S. Representative -- 3rd Congressional District","St. Mary","Provisional Votes","","0","3","0","0"
"U. S. Representative -- 3rd Congressional District","Terrebonne","00","001","112","258","28","30"
"U. S. Representative -- 3rd Congressional District","Terrebonne","00","002","100","405","60","34"
"U. S. Representative -- 3rd Congressional District","Terrebonne","00","005","166","210","25","59"
"U. S. Representative -- 3rd Congressional District","Terrebonne","00","007 A","128","128","19","43"
"U. S. Representative -- 3rd Congressional District","Terrebonne","00","007 L","135","135","16","28"
"U. S. Representative -- 3rd Congressional District","Terrebonne","00","008","74","433","46","31"
"U. S. Representative -- 3rd Congressional District","Terrebonne","00","010","41","196","28","16"
"U. S. Representative -- 3rd Congressional District","Terrebonne","00","011","21","123","11","10"
"U. S. Representative -- 3rd Congressional District","Terrebonne","00","012","67","403","41","21"
"U. S. Representative -- 3rd Congressional District","Terrebonne","00","014","18","167","14","10"
"U. S. Representative -- 3rd Congressional District","Terrebonne","00","015","37","333","29","20"
"U. S. Representative -- 3rd Congressional District","Terrebonne","00","016","55","407","32","18"
"U. S. Representative -- 3rd Congressional District","Terrebonne","00","017","87","431","46","31"
"U. S. Representative -- 3rd Congressional District","Terrebonne","00","018","92","353","42","30"
"U. S. Representative -- 3rd Congressional District","Terrebonne","00","019","46","171","24","11"
"U. S. Representative -- 3rd Congressional District","Terrebonne","00","020","66","138","18","20"
"U. S. Representative -- 3rd Congressional District","Terrebonne","00","021","18","34","6","1"
"U. S. Representative -- 3rd Congressional District","Terrebonne","00","023","62","27","10","24"
"U. S. Representative -- 3rd Congressional District","Terrebonne","00","025","71","229","35","25"
"U. S. Representative -- 3rd Congressional District","Terrebonne","00","027","18","112","19","9"
"U. S. Representative -- 3rd Congressional District","Terrebonne","00","028","88","222","28","28"
"U. S. Representative -- 3rd Congressional District","Terrebonne","00","029","47","176","27","22"
"U. S. Representative -- 3rd Congressional District","Terrebonne","00","030","6","46","5","4"
"U. S. Representative -- 3rd Congressional District","Terrebonne","00","031","141","78","11","46"
"U. S. Representative -- 3rd Congressional District","Terrebonne","00","033","23","95","18","17"
"U. S. Representative -- 3rd Congressional District","Terrebonne","00","034 A","117","30","11","39"
"U. S. Representative -- 3rd Congressional District","Terrebonne","00","034 M","119","21","10","29"
"U. S. Representative -- 3rd Congressional District","Terrebonne","00","035","57","127","23","26"
"U. S. Representative -- 3rd Congressional District","Terrebonne","00","037","35","182","17","8"
"U. S. Representative -- 3rd Congressional District","Terrebonne","00","038","50","184","32","18"
"U. S. Representative -- 3rd Congressional District","Terrebonne","00","039","11","50","9","2"
"U. S. Representative -- 3rd Congressional District","Terrebonne","00","040","1","2","0","2"
"U. S. Representative -- 3rd Congressional District","Terrebonne","00","041","37","81","15","17"
"U. S. Representative -- 3rd Congressional District","Terrebonne","00","042","42","349","25","16"
"U. S. Representative -- 3rd Congressional District","Terrebonne","00","043","77","270","45","17"
"U. S. Representative -- 3rd Congressional District","Terrebonne","00","045","36","188","15","7"
"U. S. Representative -- 3rd Congressional District","Terrebonne","00","048","80","30","7","17"
"U. S. Representative -- 3rd Congressional District","Terrebonne","00","049","72","24","5","20"
"U. S. Representative -- 3rd Congressional District","Terrebonne","00","051","102","306","37","26"
"U. S. Representative -- 3rd Congressional District","Terrebonne","00","052","66","89","13","24"
"U. S. Representative -- 3rd Congressional District","Terrebonne","00","053","60","217","31","24"
"U. S. Representative -- 3rd Congressional District","Terrebonne","00","055","40","339","34","9"
"U. S. Representative -- 3rd Congressional District","Terrebonne","00","056","34","494","32","9"
"U. S. Representative -- 3rd Congressional District","Terrebonne","00","057","48","475","52","20"
"U. S. Representative -- 3rd Congressional District","Terrebonne","00","058","6","115","8","6"
"U. S. Representative -- 3rd Congressional District","Terrebonne","00","059","74","451","53","22"
"U. S. Representative -- 3rd Congressional District","Terrebonne","00","060","39","331","48","17"
"U. S. Representative -- 3rd Congressional District","Terrebonne","00","062","39","117","23","17"
"U. S. Representative -- 3rd Congressional District","Terrebonne","00","063","40","305","33","16"
"U. S. Representative -- 3rd Congressional District","Terrebonne","00","064","51","298","28","15"
"U. S. Representative -- 3rd Congressional District","Terrebonne","00","065","25","78","8","10"
"U. S. Representative -- 3rd Congressional District","Terrebonne","00","067","131","54","8","32"
"U. S. Representative -- 3rd Congressional District","Terrebonne","00","068","47","335","38","13"
"U. S. Representative -- 3rd Congressional District","Terrebonne","00","069","54","434","35","24"
"U. S. Representative -- 3rd Congressional District","Terrebonne","00","071","93","80","14","30"
"U. S. Representative -- 3rd Congressional District","Terrebonne","00","072","18","262","25","13"
"U. S. Representative -- 3rd Congressional District","Terrebonne","00","073","22","244","25","8"
"U. S. Representative -- 3rd Congressional District","Terrebonne","00","074","11","19","3","5"
"U. S. Representative -- 3rd Congressional District","Terrebonne","00","076","44","173","21","9"
"U. S. Representative -- 3rd Congressional District","Terrebonne","00","081","40","121","17","22"
"U. S. Representative -- 3rd Congressional District","Terrebonne","00","083","40","376","32","32"
"U. S. Representative -- 3rd Congressional District","Terrebonne","00","084","18","119","18","7"
"U. S. Representative -- 3rd Congressional District","Terrebonne","00","085","29","295","26","6"
"U. S. Representative -- 3rd Congressional District","Terrebonne","00","087","58","267","35","23"
"U. S. Representative -- 3rd Congressional District","Terrebonne","00","088","32","329","31","9"
"U. S. Representative -- 3rd Congressional District","Terrebonne","00","090","17","246","30","9"
"U. S. Representative -- 3rd Congressional District","Terrebonne","00","094","27","91","8","7"
"U. S. Representative -- 3rd Congressional District","Terrebonne","00","095","103","54","14","25"
"U. S. Representative -- 3rd Congressional District","Terrebonne","00","100","43","134","26","20"
"U. S. Representative -- 3rd Congressional District","Terrebonne","00","110","32","144","14","22"
"U. S. Representative -- 3rd Congressional District","Terrebonne","00","115","33","32","6","14"
"U. S. Representative -- 3rd Congressional District","Terrebonne","Early Voting","","2832","12406","894","988"
"U. S. Representative -- 3rd Congressional District","Terrebonne","Provisional Votes","","1","0","0","0"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","01","19","503","13","9"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","02","25","260","10","14"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","04","3","50","3","2"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","05","8","203","8","2"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","06","28","304","7","11"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","07","0","8","0","0"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","07A","11","174","10","1"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","07B","10","177","5","4"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","07C","2","22","0","1"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","08","7","144","4","5"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","09","27","242","17","26"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","10","29","233","10","9"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","11","32","213","7","12"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","12","85","119","4","17"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","14","32","537","10","11"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","16","0","68","4","2"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","17","20","212","2","1"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","18","30","465","18","13"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","19","27","288","7","10"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","19A","13","214","7","5"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","20","1","24","3","2"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","20A","5","76","3","6"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","20B","7","149","2","0"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","21","17","108","5","4"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","21A","9","93","6","2"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","22","24","164","13","15"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","23","27","266","6","10"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","24","54","357","22","26"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","25","98","454","21","31"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","26","13","134","6","5"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","26A","25","154","6","5"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","26B","12","141","8","1"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","28","19","204","21","9"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","29","29","208","9","13"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","30","0","0","0","0"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","31","6","1","0","0"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","32","54","22","5","14"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","34","40","103","2","9"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","34A","34","29","3","11"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","35","32","120","9","14"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","36A","38","33","2","14"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","37","128","59","6","24"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","38","90","20","4","19"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","39","32","42","3","16"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","40","33","260","12","11"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","41","0","32","2","1"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","42","31","219","5","14"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","44","22","275","7","2"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","45","2","47","0","2"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","45A","12","144","3","4"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","46","30","90","8","6"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","46B","38","57","5","9"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","46C","26","28","3","18"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","46D","14","45","1","5"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","46E","56","153","12","12"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","47","7","50","1","2"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","49","56","708","14","24"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","49A","2","23","1","1"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","49B","4","106","4","0"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","49C","2","37","2","0"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","50","21","267","11","15"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","51","24","267","7","21"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","53","84","650","16","27"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","56","1","9","0","0"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","57A","24","294","6","12"
"U. S. Representative -- 3rd Congressional District","Vermilion","00","57B","1","59","3","2"
"U. S. Representative -- 3rd Congressional District","Vermilion","Early Voting","","1222","8758","321","391"
"U. S. Representative -- 3rd Congressional District","Vermilion","Provisional Votes","","0","0","0","0"
