COUNTY|MUNICIPALITY|W/P|CG|SS|SR|CC|D|G|L|NL|R|U|TOTAL|
ARO|FRENCHVILLE|1-1|2|1|2|3|45|8|0|0|13|46|112|
ARO|GARFIELD PLT|1-1|2|1|1|3|0|0|0|0|1|1|2|
ARO|GLENWOOD PLT|1-1|2|2|8|1|3|0|0|0|0|0|3|
ARO|GRAND ISLE|1-1|2|1|2|3|22|2|0|0|4|22|50|
ARO|HAMLIN|1-1|2|1|3|3|6|0|0|0|1|9|16|
ARO|HAMMOND|1-1|2|2|6|1|1|0|0|0|5|7|13|
ARO|HAYNESVILLE|1-1|2|2|8|1|2|2|0|0|0|14|18|
ARO|HERSEY|1-1|2|2|6|1|3|0|0|0|4|8|15|
ARO|HODGDON|1-1|2|2|8|1|28|6|0|0|57|84|175|
ARO|HOULTON|1-1|2|2|7|1|108|33|0|0|150|294|585|
ARO|ISLAND FALLS|1-1|2|2|8|1|16|2|0|0|14|32|64|
ARO|LIMESTONE|1-1|2|1|3|3|269|43|0|0|129|418|859|
ARO|LINNEUS|1-1|2|2|7|1|11|2|0|0|19|66|98|
ARO|LITTLETON|1-1|2|2|6|1|4|0|0|0|11|29|44|
ARO|LUDLOW|1-1|2|2|7|1|5|2|0|0|17|36|60|
ARO|MACWAHOC PLT|1-1|2|2|8|1|0|0|0|0|0|1|1|
ARO|MADAWASKA|1-1|2|1|2|3|227|12|0|0|55|229|523|
ARO|MADAWASKA LAKE|1-1|2|1|2|3|1|0|0|0|6|4|11|
ARO|MAPLETON|1-1|2|1|6|2|9|3|0|0|9|19|40|
ARO|MAPLETON|1-2|2|1|6|2|7|0|0|0|6|13|26|
ARO|MAPLETON|1-3|2|1|6|2|12|5|0|0|34|34|85|
ARO|MARS HILL|1-1|2|2|6|1|45|7|0|0|53|79|184|
ARO|MASARDIS|1-1|2|1|1|3|4|2|0|0|9|14|29|
ARO|MERRILL|1-1|2|2|6|1|0|0|0|0|3|0|3|
ARO|MONTICELLO|1-1|2|2|6|1|23|2|0|0|24|47|96|
ARO|MORO PLT|1-1|2|2|6|1|1|2|0|0|1|7|11|
ARO|NASHVILLE PLT|1-1|2|1|1|3|0|1|0|0|0|3|4|
ARO|NEW CANADA|1-1|2|1|1|3|4|3|0|0|2|8|17|
ARO|NEW LIMERICK|1-1|2|2|7|1|7|1|0|0|16|24|48|
ARO|NEW SWEDEN|1-1|2|1|3|3|9|1|0|0|24|46|80|
ARO|OAKFIELD|1-1|2|2|7|1|12|1|0|0|11|38|62|
ARO|ORIENT|1-1|2|2|8|1|2|1|0|0|2|14|19|
ARO|OXBOW NORTH TWP|1-1|2|2|6|2|2|0|0|0|4|2|8|
ARO|PERHAM|1-1|2|1|2|3|15|4|0|0|8|25|52|
ARO|PORTAGE LAKE|1-1|2|1|1|3|5|2|0|0|6|12|25|
ARO|PRESQUE ISLE|1-10|2|2|5|2|53|4|0|0|40|47|144|
ARO|PRESQUE ISLE|1-11|2|2|5|2|40|5|0|0|19|70|134|
ARO|PRESQUE ISLE|1-12|2|2|5|2|54|10|0|0|38|92|194|
ARO|PRESQUE ISLE|1-13|2|2|5|2|20|5|0|0|23|58|106|
ARO|PRESQUE ISLE|1-14|2|2|5|2|25|6|0|0|19|38|88|
ARO|PRESQUE ISLE|1-15|2|2|5|2|27|4|0|1|25|60|117|
ARO|PRESQUE ISLE|1-16|2|2|5|2|34|10|0|0|22|46|112|
ARO|PRESQUE ISLE|1-3|2|2|5|2|0|2|0|0|1|5|8|
ARO|PRESQUE ISLE|1-4|2|2|5|2|3|1|0|0|2|6|12|
ARO|PRESQUE ISLE|1-5|2|2|5|2|23|2|0|0|34|44|103|
ARO|PRESQUE ISLE|1-6|2|2|5|2|19|3|0|0|19|41|82|
ARO|PRESQUE ISLE|1-7|2|2|5|2|30|2|1|0|22|56|111|
ARO|PRESQUE ISLE|1-8|2|2|5|2|42|4|0|0|57|84|187|
ARO|PRESQUE ISLE|1-9|2|2|5|2|33|6|0|0|17|52|108|
ARO|PRESQUE ISLE|2-17|2|2|5|2|59|10|1|0|35|94|199|
ARO|PRESQUE ISLE|2-4|2|2|5|2|5|1|1|0|7|23|37|
ARO|PRESQUE ISLE|2-5|2|2|5|2|5|1|0|0|6|18|30|
ARO|REED PLT|1-1|2|2|8|1|1|0|0|0|2|17|20|
ARO|SAINT AGATHA|1-1|2|1|2|3|59|11|0|0|18|56|144|
ARO|SAINT FRANCIS|1-1|2|1|1|3|15|3|0|0|5|26|49|
ARO|SAINT JOHN PLT|1-1|2|1|1|3|12|0|0|1|1|23|37|
ARO|SHERMAN|1-1|2|2|8|1|9|4|0|0|16|35|64|
ARO|SILVER RIDGE TWP|1-1|2|2|8|1|0|1|0|0|4|5|10|
ARO|SINCLAIR|1-1|2|1|2|3|38|3|0|0|13|23|77|
ARO|SMYRNA|1-1|2|2|6|1|6|0|0|0|3|7|16|
ARO|STOCKHOLM|1-1|2|1|3|3|21|1|0|0|6|13|41|
ARO|VAN BUREN|1-1|2|1|2|3|118|3|0|0|32|114|267|
ARO|WADE|1-1|2|1|4|3|6|0|0|0|6|18|30|
ARO|WALLAGRASS|1-1|2|1|1|3|20|4|0|0|6|25|55|
ARO|WASHBURN|1-1|2|1|4|2|19|2|0|0|31|49|101|
ARO|WESTFIELD|1-1|2|2|6|2|22|11|0|1|24|40|98|
ARO|WESTMANLAND|1-1|2|1|3|3|0|0|0|0|0|2|2|
ARO|WESTON|1-1|2|2|8|1|6|1|0|0|12|24|43|
ARO|WINTERVILLE PLT|1-1|2|1|1|3|7|2|0|0|0|6|15|
ARO|WOODLAND|1-1|2|1|3|3|21|9|1|0|50|93|174|
CUM|BALDWIN|1-1|1|22|84|1|58|9|0|0|77|116|260|
CUM|BRIDGTON|1-1|1|18|83|1|217|60|0|2|245|439|963|
CUM|BRUNSWICK|1-1|1|23|99|3|48|11|0|0|60|77|196|
CUM|BRUNSWICK|1-2|1|23|100|3|0|0|0|0|0|0|0|
CUM|BRUNSWICK|1-2|1|23|99|3|53|9|0|0|51|91|204|
CUM|BRUNSWICK|2-1|1|23|100|3|32|1|0|0|9|24|66|
CUM|BRUNSWICK|2-2|1|23|100|3|290|22|0|0|96|252|660|
CUM|BRUNSWICK|2-2|1|23|101|3|26|2|0|0|0|18|46|
CUM|BRUNSWICK|3-1|1|23|101|3|52|4|0|0|52|84|192|
CUM|BRUNSWICK|3-2|1|23|101|3|55|5|0|0|39|61|160|
CUM|BRUNSWICK|4-1|1|23|101|3|29|4|1|0|19|59|112|
CUM|BRUNSWICK|4-2|1|23|100|3|4|2|0|0|5|15|26|
CUM|BRUNSWICK|4-2|1|23|101|3|61|6|0|0|48|98|213|
CUM|BRUNSWICK|5-1|1|23|99|3|3|1|0|0|0|7|11|
CUM|BRUNSWICK|5-2|1|23|100|3|146|23|1|0|78|177|425|
CUM|BRUNSWICK|5-2|1|23|99|3|11|1|0|0|21|20|53|
CUM|BRUNSWICK|6-2|1|23|100|3|521|45|0|0|124|417|1107|
CUM|BRUNSWICK|6-2|1|23|101|3|13|0|0|0|4|7|24|
CUM|BRUNSWICK|7-2|1|23|100|3|426|34|0|0|58|276|794|
CUM|BRUNSWICK|7-2|1|23|101|3|146|11|0|0|55|110|322|
CUM|CAPE ELIZABETH|1-1|1|29|121|4|8|0|0|0|3|12|23|
CUM|CAPE ELIZABETH|1-1|1|29|123|4|340|23|0|0|242|375|980|
CUM|CASCO|1-1|1|26|86|2|167|33|0|0|179|339|718|
CUM|CHEBEAGUE ISLAND|1-1|1|23|110|3|7|3|0|0|5|17|32|
CUM|CUMBERLAND|1-1|1|25|110|3|209|25|0|0|236|348|818|
CUM|FALMOUTH|1-1|1|25|111|2|95|7|0|0|91|152|345|
CUM|FALMOUTH|1-1|1|25|112|2|27|0|0|0|29|39|95|
CUM|FREEPORT|1-1|1|23|102|3|92|13|0|0|43|137|285|
CUM|FREEPORT|2-1|1|23|102|3|68|4|0|0|32|86|190|
CUM|FREEPORT|3-1|1|23|102|3|58|1|0|0|36|79|174|
CUM|FREEPORT|4-1|1|23|102|3|63|14|0|0|35|91|203|
CUM|FRYE ISLAND|1-1|1|26|86|2|11|9|0|0|19|20|59|
CUM|GORHAM|1-1|1|30|109|1|168|29|0|0|150|201|548|
CUM|GORHAM|1-2|1|30|109|1|106|18|1|0|116|179|420|
CUM|GORHAM|2-1|1|30|108|1|495|109|0|0|284|722|1610|
CUM|GRAY|1-1|1|25|104|2|102|17|0|0|106|227|452|
CUM|GRAY|1-1|1|25|105|2|139|22|0|0|137|279|577|
CUM|HARPSWELL|1-1|1|23|99|3|22|3|0|0|23|50|98|
CUM|HARPSWELL|2-1|1|23|99|3|34|5|0|0|24|68|131|
CUM|HARPSWELL|3-1|1|23|99|3|12|5|0|0|17|22|56|
CUM|HARRISON|1-1|1|18|83|2|47|12|0|0|52|115|226|
CUM|LONG ISLAND|1-1|1|25|110|3|3|0|0|0|6|13|22|
CUM|NAPLES|1-1|1|22|84|2|152|34|0|0|164|290|640|
CUM|NEW GLOUCESTER|1-1|1|20|104|2|110|38|1|0|92|267|508|
CUM|NORTH YARMOUTH|1-1|1|25|105|3|124|12|0|0|111|198|445|
CUM|PORTLAND|1-1|1|28|119|5|589|93|3|0|109|532|1326|
CUM|PORTLAND|1-2|1|28|115|5|35|6|0|0|11|39|91|
CUM|PORTLAND|1-2|1|28|118|5|740|160|31|1|170|882|1984|
CUM|PORTLAND|1-2|1|28|119|5|154|29|4|0|44|186|417|
CUM|PORTLAND|1-3|1|28|119|5|75|7|0|0|22|69|173|
CUM|PORTLAND|1-45|1|28|119|5|12|1|0|0|6|14|33|
CUM|PORTLAND|2-1|1|28|117|5|517|76|4|0|65|447|1109|
CUM|PORTLAND|2-1|1|28|119|5|159|22|1|0|38|169|389|
CUM|PORTLAND|2-2|1|28|117|5|421|55|4|0|80|397|957|
CUM|PORTLAND|2-2|1|28|118|5|416|71|3|1|81|419|991|
CUM|PORTLAND|3-1|1|27|113|5|170|20|0|0|70|190|450|
CUM|PORTLAND|3-1|1|27|116|5|100|12|2|0|32|73|219|
CUM|PORTLAND|3-1|1|28|115|5|192|32|1|0|44|170|439|
CUM|PORTLAND|3-1|1|28|116|5|45|6|1|0|6|22|80|
CUM|PORTLAND|3-2|1|27|113|5|59|9|2|1|34|61|166|
CUM|PORTLAND|3-2|1|27|116|5|335|34|1|0|112|330|812|
CUM|PORTLAND|3-2|1|28|115|5|78|12|0|0|19|55|164|
CUM|PORTLAND|4-1|1|27|114|5|18|5|0|0|2|21|46|
CUM|PORTLAND|4-1|1|27|115|5|88|3|0|0|24|99|214|
CUM|PORTLAND|4-1|1|28|114|5|290|42|0|0|73|239|644|
CUM|PORTLAND|4-1|1|28|115|5|64|9|0|0|23|67|163|
CUM|PORTLAND|4-2|1|27|114|5|144|14|0|1|51|140|350|
CUM|PORTLAND|4-2|1|27|115|5|188|22|0|0|66|150|426|
CUM|PORTLAND|4-2|1|28|114|5|159|11|0|0|51|154|375|
CUM|PORTLAND|5-1|1|27|113|4|242|15|5|0|64|280|606|
CUM|PORTLAND|5-1|1|27|115|4|22|1|0|0|2|26|51|
CUM|PORTLAND|5-1|1|27|116|4|115|20|0|0|25|104|264|
CUM|PORTLAND|5-2|1|27|112|5|285|32|1|0|188|307|813|
CUM|PORTLAND|5-2|1|27|113|5|102|17|2|0|53|147|321|
CUM|POWNAL|1-1|1|23|98|3|61|9|0|0|40|95|205|
CUM|RAYMOND|1-1|1|26|86|2|157|27|0|0|168|344|696|
CUM|SCARBOROUGH|1-1|1|29|124|1|71|6|0|0|53|83|213|
CUM|SCARBOROUGH|1-1|1|30|124|1|268|27|0|0|271|456|1022|
CUM|SCARBOROUGH|1-1|1|30|125|1|247|43|0|0|228|406|924|
CUM|SCARBOROUGH|1-1|1|30|126|1|111|14|0|1|111|187|424|
CUM|SEBAGO|1-1|1|22|84|1|84|22|0|0|89|143|338|
CUM|SOUTH PORTLAND|1-1|1|29|122|4|326|42|0|1|124|380|873|
CUM|SOUTH PORTLAND|2-1|1|29|121|4|83|5|0|0|39|90|217|
CUM|SOUTH PORTLAND|2-1|1|29|122|4|205|22|0|0|74|201|502|
CUM|SOUTH PORTLAND|3-1|1|29|120|4|38|2|0|0|25|34|99|
CUM|SOUTH PORTLAND|3-1|1|29|121|4|170|29|0|0|99|230|528|
CUM|SOUTH PORTLAND|4-1|1|29|120|4|102|14|1|1|56|146|320|
CUM|SOUTH PORTLAND|4-1|1|29|121|4|68|8|0|0|56|109|241|
CUM|SOUTH PORTLAND|5-1|1|29|120|4|239|36|0|0|118|296|689|
CUM|STANDISH|1-1|1|22|84|1|36|11|0|0|33|59|139|
CUM|STANDISH|1-1|1|22|85|1|292|89|0|0|295|550|1226|
CUM|WESTBROOK|1-1|1|26|127|4|74|17|0|0|39|85|215|
CUM|WESTBROOK|1-1|1|26|128|4|30|3|0|0|25|54|112|
CUM|WESTBROOK|1-1|1|27|127|4|42|9|0|0|31|62|144|
CUM|WESTBROOK|1-1|1|27|128|4|0|0|0|0|0|2|2|
CUM|WESTBROOK|2-1|1|26|127|4|7|3|0|0|5|5|20|
CUM|WESTBROOK|2-1|1|27|126|4|17|2|0|0|23|16|58|
CUM|WESTBROOK|2-1|1|27|127|4|107|13|0|0|53|145|318|
CUM|WESTBROOK|3-1|1|26|126|4|48|3|0|0|19|46|116|
CUM|WESTBROOK|3-1|1|26|127|4|93|15|0|0|76|165|349|
CUM|WESTBROOK|4-1|1|26|128|4|23|1|0|0|8|34|66|
CUM|WESTBROOK|4-1|1|27|128|4|140|17|0|0|60|200|417|
CUM|WESTBROOK|5-1|1|26|128|4|145|17|0|0|103|195|460|
CUM|WINDHAM|1-1|1|26|106|2|198|38|0|1|198|482|917|
CUM|WINDHAM|1-1|1|26|107|2|199|26|0|0|168|383|776|
CUM|YARMOUTH|1-1|1|23|103|3|127|14|0|0|100|108|349|
CUM|YARMOUTH|1-1|1|25|103|3|293|53|0|0|246|368|960|
FRA|AVON|1-1|2|19|74|3|17|8|0|0|15|39|79|
FRA|CARRABASSETT VALLEY|1-1|2|5|73|4|29|8|0|0|25|54|116|
FRA|CARTHAGE|1-1|2|19|74|3|14|3|0|0|13|39|69|
FRA|CHESTERVILLE|1-1|2|5|75|5|39|9|0|0|21|64|133|
FRA|COPLIN PLT|1-1|2|19|73|3|1|0|0|0|2|0|3|
FRA|DALLAS PLT|1-1|2|19|73|4|1|2|0|0|1|15|19|
FRA|EUSTIS|1-1|2|19|73|3|34|5|0|0|36|57|132|
FRA|FARMINGTON|1-1|2|5|75|1|41|14|0|0|59|97|211|
FRA|FARMINGTON|1-1|2|5|75|2|307|85|0|0|189|591|1172|
FRA|INDUSTRY|1-1|2|5|74|4|25|8|0|0|35|59|127|
FRA|JAY|1-1|2|19|76|5|133|28|0|0|88|222|471|
FRA|KINGFIELD|1-1|2|5|73|4|26|16|0|0|56|82|180|
FRA|NEW SHARON|1-1|2|5|58|4|35|8|0|0|48|89|180|
FRA|NEW VINEYARD|1-1|2|5|74|4|21|7|0|0|17|44|89|
FRA|PHILLIPS|1-1|2|19|73|3|37|11|0|0|47|122|217|
FRA|RANGELEY|1-1|2|19|73|3|2|1|0|0|2|16|21|
FRA|RANGELEY PLT|1-1|2|19|73|3|11|2|0|0|15|12|40|
FRA|SANDY RIVER PLT|1-1|2|19|73|3|4|2|0|0|5|8|19|
FRA|STRONG|1-1|2|5|74|3|33|14|0|0|54|82|183|
FRA|TEMPLE|1-1|2|19|74|1|28|8|0|1|19|39|95|
FRA|WELD|1-1|2|19|74|3|3|0|0|0|2|11|16|
FRA|WILTON|1-1|2|5|74|1|93|23|0|1|79|233|429|
HAN|AMHERST|1-1|2|6|18|1|5|3|0|0|4|16|28|
HAN|AURORA|1-1|2|6|18|1|1|2|0|0|4|6|13|
HAN|BAR HARBOR|1-1|2|7|14|3|357|42|0|0|134|348|881|
HAN|BLUE HILL|1-1|2|7|16|1|101|18|0|0|65|115|299|
HAN|BROOKLIN|1-1|2|7|15|2|14|9|0|0|11|23|57|
HAN|BROOKSVILLE|1-1|2|7|16|2|34|6|0|0|16|33|89|
HAN|BUCKSPORT|1-1|2|10|17|2|250|23|0|0|199|453|925|
HAN|CASTINE|1-1|2|7|16|2|73|21|0|0|101|182|377|
HAN|CRANBERRY ISLES|1-1|2|7|14|3|0|0|0|0|1|2|3|
HAN|CRANBERRY ISLES|2-1|2|7|14|3|1|0|0|0|0|2|3|
HAN|CRANBERRY ISLES||2|28|35||0|0|0|0|0|0|0|
HAN|DEDHAM|1-1|2|10|18|2|54|5|0|0|46|96|201|
HAN|DEER ISLE|1-1|2|7|15|2|60|15|0|0|30|135|240|
HAN|EASTBROOK|1-1|2|6|18|1|10|3|0|0|18|43|74|
HAN|ELLSWORTH|1-1|2|7|13|1|108|22|0|0|140|184|454|
HAN|ELLSWORTH|2-1|2|7|13|1|47|8|0|0|57|83|195|
HAN|ELLSWORTH|3-1|2|7|13|1|34|4|0|0|39|60|137|
HAN|ELLSWORTH|4-1|2|7|13|1|79|13|0|0|137|160|389|
HAN|FRANKLIN|1-1|2|6|12|3|52|5|0|0|53|98|208|
HAN|FRENCHBORO|1-1|2|7|15|3|4|0|0|0|1|2|7|
HAN|GOULDSBORO|1-1|2|6|12|1|66|20|0|0|90|158|334|
HAN|GREAT POND|1-1|2|6|18|1|0|0|0|0|0|0|0|
HAN|HANCOCK|1-1|2|6|12|3|80|18|0|0|99|186|383|
HAN|LAMOINE|1-1|2|7|14|3|62|14|0|0|74|109|259|
HAN|MARIAVILLE|1-1|2|6|18|1|7|5|0|0|12|24|48|
HAN|MOUNT DESERT|1-1|2|7|14|3|49|7|0|0|26|68|150|
HAN|MOUNT DESERT|1-2|2|7|14|3|38|7|0|0|28|60|133|
HAN|ORLAND|1-1|2|7|17|2|45|15|0|0|37|95|192|
HAN|OSBORN|1-1|2|6|18|1|0|0|0|0|4|1|5|
HAN|OTIS|1-1|2|10|18|1|20|8|0|0|31|46|105|
HAN|PENOBSCOT|1-1|2|7|17|2|46|16|0|0|34|77|173|
HAN|SEDGWICK|1-1|2|7|16|2|46|4|0|0|30|50|130|
HAN|SORRENTO|1-1|2|6|12|1|12|2|0|0|3|13|30|
HAN|SOUTHWEST HARBOR|1-1|2|7|15|3|95|26|0|0|60|150|331|
HAN|STONINGTON|1-1|2|7|15|2|40|7|0|0|35|95|177|
HAN|SULLIVAN|1-1|2|6|12|1|25|9|0|0|24|82|140|
HAN|SURRY|1-1|2|7|16|1|61|15|0|0|49|78|203|
HAN|SWANS ISLAND|1-1|2|7|15|3|2|0|0|0|4|15|21|
HAN|TREMONT|1-1|2|7|15|3|25|4|0|0|22|50|101|
HAN|TRENTON|1-1|2|7|16|3|74|14|0|0|66|142|296|
HAN|VERONA ISLAND|1-1|2|7|17|2|17|2|0|0|21|38|78|
HAN|WALTHAM|1-1|2|6|13|1|1|3|0|0|1|7|12|
HAN|WINTER HARBOR|1-1|2|6|12|1|17|1|0|0|33|57|108|
KEN|ALBION|1-1|1|16|63|3|46|10|0|0|49|95|200|
KEN|AUGUSTA|1-1|2|15|59|1|284|42|0|0|229|372|927|
KEN|AUGUSTA|2-1|2|15|59|1|23|1|0|0|15|34|73|
KEN|AUGUSTA|2-1|2|15|60|1|237|21|0|0|174|314|746|
KEN|AUGUSTA|3-1|2|15|59|1|237|24|0|1|187|388|837|
KEN|AUGUSTA|3-1|2|15|60|1|1|0|0|0|0|3|4|
KEN|AUGUSTA|4-1|2|15|60|1|231|30|0|0|186|350|797|
KEN|BELGRADE|1-1|2|15|58|3|66|17|0|0|97|174|354|
KEN|BENTON|1-1|1|3|67|3|49|16|0|0|65|137|267|
KEN|CHELSEA|1-1|2|14|53|1|82|22|0|1|64|198|367|
KEN|CHINA|1-1|1|15|62|1|36|10|0|0|40|132|218|
KEN|CLINTON|1-1|1|3|68|3|97|21|0|1|114|239|472|
KEN|FARMINGDALE|1-1|2|14|54|2|171|24|0|0|141|244|580|
KEN|FAYETTE|1-1|2|17|58|2|11|3|0|0|8|24|46|
KEN|GARDINER|1-1|2|14|54|2|63|13|0|0|65|134|275|
KEN|GARDINER|2-1|2|14|54|2|56|9|0|0|56|107|228|
KEN|GARDINER|3-1|2|14|54|2|80|10|0|0|49|107|246|
KEN|GARDINER|4-1|2|14|54|2|48|15|0|0|36|102|201|
KEN|HALLOWELL|1-1|2|14|55|2|20|1|0|0|9|23|53|
KEN|HALLOWELL|2-1|2|14|55|2|25|5|0|0|8|36|74|
KEN|HALLOWELL|3-1|2|14|55|2|20|0|0|0|6|17|43|
KEN|HALLOWELL|4-1|2|14|55|2|27|6|0|0|3|25|61|
KEN|HALLOWELL|5-1|2|14|55|2|10|1|0|0|9|13|33|
KEN|LITCHFIELD|1-1|1|17|56|2|100|19|0|0|85|198|402|
KEN|MANCHESTER|1-1|2|14|55|1|87|16|0|0|92|120|315|
KEN|MONMOUTH|1-1|2|14|56|2|124|18|0|0|125|218|485|
KEN|MOUNT VERNON|1-1|2|15|58|2|53|18|0|0|48|103|222|
KEN|OAKLAND|1-1|2|16|66|3|164|29|0|0|135|408|736|
KEN|PITTSTON|1-1|1|14|53|2|76|16|0|0|96|150|338|
KEN|RANDOLPH|1-1|2|14|53|2|55|7|0|0|58|106|226|
KEN|READFIELD|1-1|2|14|57|2|84|12|0|0|53|133|282|
KEN|ROME|1-1|2|5|58|3|7|5|0|0|13|29|54|
KEN|SIDNEY|1-1|2|15|61|1|73|15|0|0|87|137|312|
KEN|SIDNEY|1-1|2|15|66|1|4|1|0|0|6|9|20|
KEN|VASSALBORO|1-1|1|15|61|1|121|28|0|0|120|201|470|
KEN|VIENNA|1-1|2|5|58|2|16|1|0|0|9|25|51|
KEN|WATERVILLE|1-1|1|16|64|3|90|12|0|0|61|170|333|
KEN|WATERVILLE|2-1|1|16|64|3|105|16|0|0|45|170|336|
KEN|WATERVILLE|3-1|1|16|64|3|1102|112|0|0|197|793|2204|
KEN|WATERVILLE|4-1|1|16|64|3|20|0|0|0|4|20|44|
KEN|WATERVILLE|4-1|1|16|65|3|123|16|0|0|56|109|304|
KEN|WATERVILLE|5-1|1|16|65|3|83|11|0|1|60|136|291|
KEN|WATERVILLE|6-1|1|16|64|3|36|8|0|0|20|35|99|
KEN|WATERVILLE|6-1|1|16|65|3|103|10|0|0|43|96|252|
KEN|WATERVILLE|7-1|1|16|65|3|116|16|0|0|76|255|463|
KEN|WAYNE|1-1|2|14|91|2|20|4|0|0|4|21|49|
KEN|WEST GARDINER|1-1|1|14|55|2|95|30|0|0|104|207|436|
